# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2344 華邦電|半導體業|-2 0 -9|47 56 -30 -44|0.4 365|13 -7 -1 -4 -18
2345 智邦|通信網路|83 56 35|97 97 49 37|0.6 4413|61 -12 5 28 -47
2347 聯強|電子通路|-3 8 -2|82 95 -1 0|0.7 298|30 -20 21 -29 24
2348 海悅|其他|91 165 5|57 57 21 -16|2.3 766|3 -8 15 5 46
2349 錸德|光電業|-19 -21 -18|69 74 -16 -31|0.2 51|10 -2 0 na na
2351 順德|半導體業|4 0 2|56 56 -35 -25|0.2 94|15 -10 -4 -2 -16
2352 佳世達|電腦及週|0 1 4|72 87 -11 -10|0.6 111|11 9 -24 5 -26
2353 宏碁|電腦及週|13 1 -10|72 86 1 -13|1.6 461|22 -14 21 -6 1
2354 鴻準|其他電子|223 75 84|78 78 16 7|0.2 1627|21 -2 -1 -30 21
2355 敬鵬|電子零組|-10 -8 -6|73 77 -6 -24|0.7 64|15 -7 0 4 -0
2356 英業達|電腦及週|38 39 18|83 86 17 -10|0.4 692|14 15 -6 -7 -20
2357 華碩|電腦及週|29 25 6|97 97 4 24|0.5 1585|50 3 -6 -24 -9
2359 所羅門|其他電子|65 16 21|91 92 14 -0|1.5 2872|6 2 0 42 -21
2360 致茂|其他電子|32 13 -2|85 85 2 24|0.3 1081|62 -3 -9 13 -26
2362 藍天|電腦及週|5 3 -8|77 77 -23 -4|0.2 42|10 -1 0 -10 -1
2363 矽統|半導體業|1584 941 691|67 76 -1 -12|0.4 567|5 -3 -0 5 2
2364 倫飛|電腦及週|-17 14 0|62 62 -17 -4|0.4 9|17 -6 0 -2 -16
2365 昆盈|電腦及週|3 4 -23|69 69 -13 -16|0.9 303|1 -2 0 14 18
2367 燿華|電子零組|16 19 -3|76 81 -5 -24|1.9 352|10 -4 0 7 5
2368 金像電|電子零組|5 9 -19|87 97 23 5|1.4 2874|17 4 9 -24 -21
2369 菱生|半導體業|-7 -11 -9|62 75 -5 -27|0.4 13|13 4 0 -2 -8
2371 大同|電機機械|-15 -3 -6|68 82 -4 -16|1.2 521|9 -5 -0 15 20
2374 佳能|光電業|28 19 -6|91 91 33 8|3.8 2943|9 1 0 99 -30
2375 凱美|電子零組|3 8 -1|81 81 1 -6|0.5 173|7 -3 0 -3 56
2376 技嘉|電腦及週|40 53 -55|72 86 -0 -12|0.4 866|16 -4 0 -4 0
2377 微星|電腦及週|4 6 -2|93 97 6 3|1.1 438|24 11 5 -3 1
2379 瑞昱|半導體業|12 12 -7|93 96 14 2|1.3 1595|51 6 12 1 34
2382 廣達|電腦及週|36 48 24|82 82 5 -12|0.5 4441|25 -13 -4 7 7
2383 台光電|電子零組|50 40 -20|95 95 38 22|0.8 3966|34 15 -1 -27 -84
2385 群光|電子零組|5 8 5|62 90 -6 -9|0.7 366|27 -19 0 -17 -29
2387 精元|電腦及週|5 5 -2|93 95 7 3|0.4 31|20 8 -9 -14 1
2388 威盛|半導體業|29 85 50|61 69 -24 -18|0.9 724|7 -8 0 -0 8
2392 正崴|電子零組|-3 1 -8|80 80 13 -11|0.2 489|9 -3 0 -15 -2
2393 億光|光電業|9 14 -4|99 99 13 15|1.8 490|25 -19 26 2 78
2395 研華|電腦及週|4 3 12|87 92 9 -6|0.4 220|39 -7 1 -0 -36
2397 友通|電腦及週|23 10 41|80 80 -2 -18|0.3 16|25 11 0 -11 -32
2399 映泰|電腦及週|-47 -35 -22|59 59 -34 11|0.1 85|7 -4 0 -2 10
2401 凌陽|半導體業|1 8 -8|77 78 -6 -22|1.9 75|14 -11 -0 14 87
2402 毅嘉|電子零組|14 13 2|84 84 -10 4|0.2 45|8 2 0 -7 -3
2404 漢唐|其他電子|-45 -47 -19|95 95 39 19|1.2 776|26 6 -0 18 -30
2405 輔信|電腦及週|-18 -8 -9|76 80 3 -24|0.8 71|5 -3 0 -1 10
2406 國碩|光電業|-7 31 -76|53 53 -26 -45|1.1 15|8 -13 0 -1 3
2408 南亞科|半導體業|-24 -16 -39|36 39 -37 -62|0.7 425|10 2 -0 8 4
2409 友達|光電業|15 6 -8|77 77 -16 -18|0.8 279|24 -13 -0 -2 22
2412 中華電|通信網路|-0 3 1|96 97 -1 3|0.8 730|15 -26 2 93 21
2413 環科|電子零組|-9 -15 16|85 86 20 4|0.4 19|3 -4 0 -6 27
2415 錩新|電子零組|-16 -19 -24|89 89 14 13|1.4 16|2 -4 0 -3 16
2417 圓剛|電腦及週|-10 -10 -10|85 94 15 -7|2.4 211|2 0 0 46 4
2419 仲琦|通信網路|-24 45 41|76 76 -9 -8|0.4 49|2 -11 0 -3 29
2420 新巨|電子零組|5 -2 -4|81 81 -19 -1|0.5 22|7 -7 6 -16 -3
2421 建準|電子零組|9 13 3|69 88 1 -12|0.3 160|16 -4 1 -7 -1
2423 固緯|其他電子|-21 -12 -6|93 95 5 1|0.6 8|6 -3 0 24 8
2425 承啟|電腦及週|-31 -18 -6|66 66 -34 -12|0.1 25|7 1 0 -10 2
2426 鼎元|光電業|-5 1 -8|86 86 -6 16|0.5 60|9 -4 0 -2 8
