"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"2431","聯昌",14.26,4595.19,355.95,329.20,-199.01,1.95,187.17,6.29,58.02,32.61,0.61,-2.57,-3.51,-5.18,-4.74,-4.96,-0.50,181.18,78.75,23.53
"2433","互盛電",49.98,1379.83,72.42,52.56,464.90,7.67,47.58,4.01,91.02,7.90,0.40,2.72,3.97,5.87,7.64,5.05,0.48,19.60,72.96,0.71
"2434","統懋",26.78,337.38,296.01,220.75,775.00,2.81,129.89,1.82,200.54,2.47,0.56,3.16,3.68,12.99,5.21,4.79,0.43,24.31,109.41,0.00
"2436","偉詮電",20.72,1244.81,355.63,304.14,457.48,2.44,149.59,4.19,87.11,6.26,0.40,4.64,5.51,3.25,6.31,10.75,0.65,54.08,197.15,9.37
"2438","翔耀",49.12,317.20,90.41,67.69,3.42,4.62,79.00,12.79,28.53,7.94,1.29,2.03,3.02,8.94,4.24,1.18,0.42,62.65,229.68,48.27
"2439","美律",33.50,3671.79,174.53,154.02,127.84,4.44,82.20,24.60,14.83,51.66,0.96,13.80,20.10,3.47,58.73,14.28,5.24,19.19,57.05,0.30
"2440","太空梭",48.42,207.20,130.68,84.74,-841.67,3.41,107.03,4.15,87.95,3.50,1.00,-12.35,-22.56,2.12,-16.32,-12.13,-1.31,0.00,21.14,0.00
"2441","超豐",13.39,232.79,481.62,442.55,316094.00,3.98,91.70,12.23,29.84,2.23,0.83,22.63,27.08,55.94,54.93,26.07,5.07,215.98,143.39,15.56
"2442","新美齊",77.90,727.77,110.27,109.89,3.12,4.27,85.48,1342.89,0.27,86.99,3.11,3.43,9.81,5.89,6.83,0.78,0.59,0.00,0.00,0.00
"2443","新利虹",38.51,151.37,90.44,49.17,0.00,11.76,31.03,6.53,55.89,1.62,0.69,-2.25,-4.81,-2.32,-4.52,-4.35,-0.46,17.51,79.19,4.60
"2444","兆勁",53.83,160.79,119.60,71.17,"NA",4.71,77.49,2.89,126.29,3.53,1.16,-5.58,-13.27,-3.30,-12.13,-5.66,-1.05,23.06,27.11,14.81
"2448","晶電",31.94,171.13,305.72,212.58,42.21,2.72,134.19,2.18,167.43,1.08,0.53,10.78,15.49,31.79,35.03,19.71,3.47,84.50,70.66,9.05
"2449","京元電子",38.19,130.97,169.42,166.73,19.10,3.85,94.80,83.14,4.39,0.61,0.39,8.81,14.43,28.50,26.91,21.48,2.66,200.72,81.89,14.82
"2450","神腦",46.44,446.32,196.66,121.17,11.27,10.12,36.06,8.81,41.43,22.08,3.12,5.37,10.05,14.72,16.46,1.63,1.27,20.82,47.13,11.11
"2451","創見",32.03,702.97,428.00,276.80,102449.98,8.88,41.10,8.85,41.24,18.51,2.11,24.38,32.54,74.03,80.51,9.41,7.23,15.05,50.43,-6.68
"2453","凌群",28.90,320.70,246.70,174.00,-129.80,2.84,128.52,3.77,96.81,3.60,0.80,-2.70,-3.80,-10.40,-5.60,-3.40,-0.57,"*****",124.30,"*****"
"2454","聯發科",11.92,1402.40,523.11,483.82,"NA",12.72,28.69,6.11,59.73,12.23,0.76,32.40,37.55,245.95,251.71,42.65,23.50,257.00,215.68,19.75
"2455","全新",47.51,160.96,165.53,67.13,18.05,5.78,63.14,2.90,125.86,1.37,0.66,13.20,23.34,18.85,17.45,19.25,1.78,29.77,19.42,7.31
"2456","奇力新",39.99,198.07,142.96,106.49,16.57,3.14,116.24,4.39,83.14,1.37,0.51,9.50,16.30,16.89,20.06,16.80,1.97,26.66,53.58,1.46
"2457","飛宏",44.92,1414.18,155.41,106.77,50.44,4.95,73.73,7.83,46.61,25.81,1.18,6.43,11.49,23.66,20.50,5.34,1.81,4.54,68.95,1.05
"2458","義隆",14.57,537.94,455.14,357.74,76.36,8.30,43.97,3.95,92.40,5.75,0.91,5.81,6.86,13.40,8.66,6.36,0.85,107.20,190.75,9.60
"2459","敦吉",27.51,1178.64,157.20,145.97,41.44,5.35,68.22,37.28,9.79,17.85,1.19,14.21,20.40,11.65,48.65,11.67,4.58,11.42,56.72,-3.83
"2460","建通",46.08,417.60,210.58,155.52,33.33,3.69,98.91,5.88,62.07,5.34,0.90,16.41,30.12,45.72,55.36,15.46,4.37,6.30,79.30,1.61
"2461","光群雷",34.38,598.09,114.76,99.39,10.21,3.64,100.27,9.92,36.79,2.02,0.27,9.10,14.13,6.70,17.35,32.13,2.02,46.82,198.87,5.94
"2462","良得電",45.76,966.96,136.68,133.64,25.65,2.95,123.72,216.18,1.68,23.24,1.30,7.02,11.35,13.08,19.25,4.64,1.56,-32.43,24.79,-30.94
"2464","盟立",41.13,579.61,210.85,154.16,2728.68,5.44,67.09,4.31,84.68,10.88,1.11,16.49,28.17,48.01,51.87,13.63,4.40,20.31,62.45,2.28
"2465","麗臺",51.69,292.60,139.60,90.62,-1288.30,6.00,60.83,6.25,58.40,12.57,2.08,-19.35,-42.39,-18.62,-37.02,-11.89,-3.75,28.09,60.54,23.14
"2466","冠西電",26.32,391.44,290.14,227.32,99.54,4.26,85.68,3.08,118.50,2.91,0.55,3.69,4.82,9.49,5.39,5.32,0.65,40.58,123.85,7.97
"2467","志聖",31.76,414.01,199.03,138.20,335.23,3.04,120.06,3.48,104.88,4.66,0.78,14.47,20.25,19.22,33.79,16.48,3.08,22.08,72.05,5.38
"2468","華經",35.00,251.00,154.00,123.00,87.26,3.40,107.35,12.86,28.38,4.74,1.23,7.00,10.00,16.00,18.00,5.00,1.41,10.00,87.00,3.00
"2471","資通",22.94,7453.22,508.47,466.91,0.00,2.64,138.25,192.00,1.90,49.16,0.54,3.52,4.57,-0.12,7.08,6.51,0.75,35.72,227.29,3.01
"2472","立隆電",30.55,863.02,175.61,142.59,0.70,2.25,162.22,10.72,34.04,10.18,0.82,0.94,0.55,3.80,-0.44,0.46,0.08,-4.82,12.87,-2.61
"2474","可成",4.79,1590.57,399.38,386.86,47427.24,3.16,115.50,12.18,29.96,1.07,0.06,37.78,42.83,8.19,162.55,500.80,15.68,41.85,99.38,-1.04
"2476","鉅祥",18.57,827.05,171.93,146.87,96.58,3.76,97.07,10.94,33.36,4.29,0.43,14.75,19.79,13.09,37.61,34.04,3.20,126.89,102.50,12.89
"2477","美隆電",27.49,1370.13,172.74,124.65,348.01,4.74,77.00,12.16,30.01,15.90,0.84,5.79,8.17,5.11,11.26,6.88,1.12,42.07,131.14,5.80
"2478","大毅",11.12,501.99,477.67,414.08,2393.79,2.09,174.64,5.34,68.35,1.95,0.35,8.12,9.16,8.49,22.87,22.81,1.91,131.17,125.09,8.90
"2480","敦陽科",25.16,669.30,337.64,274.97,42.63,2.06,177.18,4.56,80.04,7.32,0.91,6.83,8.97,15.48,17.16,7.32,1.44,58.94,210.79,10.74
"2481","強茂",46.04,372.87,231.57,167.44,4.68,3.26,111.96,5.31,68.73,2.45,0.55,5.44,9.36,15.10,16.81,8.36,1.72,70.68,48.04,10.88
"2482","連宇",23.89,350.41,280.90,179.03,52.38,6.09,59.93,3.63,100.55,3.87,0.91,8.13,11.00,19.73,18.77,8.92,1.53,54.71,160.78,8.60
"2483","百容",19.73,338.64,228.88,148.62,85.13,4.15,87.95,3.11,117.36,1.85,0.47,7.32,8.90,21.34,21.03,14.83,1.74,68.35,106.63,6.61
"2484","希華",30.02,200.91,149.82,107.30,19.99,3.46,105.49,3.23,113.00,1.15,0.43,6.64,9.14,20.32,20.86,14.62,1.78,42.38,43.30,8.53
