# 2024-03 月中(2024-03-11,上月月報甫公佈)全池量化快照(1266 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
3050 鈺德|光電業|13 5 1|100 100 14 42|1.3 70|10 4 0 4 0
3051 力特|光電業|-31 -24 3|94 94 6 34|1.1 148|4 3 0 2 0
3052 夆典|建材營造|-5 44 17|100 100 12 14|1.9 15|4 14 0 24 10
3055 蔚華科|電子通路|-87 -22 11|80 80 66 91|0.8 659|7 0 0 -4 -5
3056 富華新|建材營造|-91 -75 -120|74 90 -7 -10|1.5 34|3 -7 -0 20 7
3057 喬鼎|電腦及週|9 6 25|85 91 9 10|1.3 5|3 6 0 na na
3058 立德|電子零組|-33 -18 -2|65 89 -0 8|1.5 20|2 0 0 na na
3059 華晶科|光電業|-37 -24 7|83 83 -12 -3|0.7 65|12 -5 -0 -14 0
3060 銘異|電腦及週|33 34 32|96 96 3 11|2.3 10|10 1 0 8 -10
3062 建漢|通信網路|-26 -31 -2|87 92 -3 -3|3.0 28|12 -4 0 -12 13
3066 李洲|光電業|4 14 29|82 82 40 43|0.3 14|1 1 0 -34 33
3071 協禧|電腦及週|-21 -11 2|74 90 3 -12|3.6 30|1 -1 0 16 8
3078 僑威|電子零組|-40 10 -63|89 89 -6 -7|1.7 256|6 -0 0 -6 -22
3081 聯亞|通信網路|6 -9 38|93 93 44 36|1.4 1046|19 4 0 -9 -37
3083 網龍|文化創意|74 6 9|91 92 -6 11|2.0 12|1 -0 0 2 17
3086 華義*|文化創意|55 72 52|71 71 49 105|1.6 29|39 -0 0 28 47
3088 艾訊|電腦及週|-13 -9 -10|85 88 -3 -8|2.4 53|7 -7 0 10 18
3090 日電貿|電子零組|-13 13 8|93 93 0 2|1.5 48|11 10 -0 5 3
3092 鴻碩|電子零組|-34 -4 21|74 79 -13 -15|2.4 10|1 -4 0 -13 -2
3094 聯傑|半導體業|-57 -32 -6|84 84 -10 1|1.1 26|2 2 0 -10 -5
3105 穩懋|半導體業|53 60 48|84 89 -11 7|1.5 621|24 -6 0 5 6
3114 好德|電子零組|-15 5 14|95 95 4 6|0.9 9|1 6 0 -24 13
3122 笙泉|半導體業|-21 18 25|80 80 -18 70|0.6 29|4 7 0 -9 -19
3128 昇銳|光電業|18 5 14|67 92 3 -2|1.0 9|1 0 0 -3 1
3130 一零四|數位雲端|-4 9 1|96 96 7 10|1.9 7|32 -28 0 -50 0
3131 弘塑|半導體業|11 12 10|86 86 68 70|2.0 1056|15 5 5 na 14
3138 耀登|通信網路|-3 -10 -7|76 78 -18 -11|1.1 46|2 -3 0 -22 12
3141 晶宏|半導體業|-45 -39 -15|70 78 -19 -14|1.0 47|7 -2 0 -17 0
3147 大綜|資訊服務|13 44 18|82 82 27 90|2.9 317|5 1 0 5 9
3149 正達|光電業|-20 11 25|77 77 6 8|1.2 34|2 1 0 na na
3152 璟德|通信網路|15 27 15|83 83 -8 6|2.6 44|17 -3 -2 50 -4
3162 精確|電機機械|-65 2 -34|64 75 -17 -18|1.2 26|44 2 0 -5 -2
3163 波若威|通信網路|-18 5 15|100 100 33 20|4.2 951|11 1 0 98 -46
3167 大量|電機機械|36 29 50|89 89 16 36|1.0 46|3 1 0 25 99
3169 亞信|半導體業|-20 4 28|92 92 4 9|4.9 134|2 2 0 22 -22
3171 炎洲流通|居家生活|-20 -2 10|100 100 63 74|7.6 6|1 1 0 644 28
3176 基亞|生技醫療|35 33 -24|65 65 -21 16|0.9 16|5 -5 0 na na
3178 公準|半導體業|-36 -11 -16|87 87 5 28|1.3 193|2 -2 0 27 14
3188 鑫龍騰|建材營造|3149 1145 na|100 100 43 59|3.8 10|1 -0 0 5 40
3189 景碩|半導體業|6 1 30|81 87 -6 -9|1.0 257|12 -10 0 2 -14
3202 樺晟|電子零組|16 29 1|65 81 -12 -14|2.4 6|1 5 0 -55 -43
3205 佰研|生技醫療|-0 11 20|78 84 -7 2|0.5 6|11 10 0 -12 -18
3206 志豐|電子零組|-13 -3 7|92 92 5 6|4.8 23|6 3 0 56 -18
3207 耀勝|電子零組|-22 -25 -10|100 100 24 26|2.2 171|4 3 0 -8 -17
3209 全科|電子通路|10 -16 -9|84 94 -4 -3|2.3 29|3 6 0 73 -17
3211 順達|電腦及週|-7 -10 -3|88 88 8 8|2.1 85|13 -14 2 1 58
3213 茂訊|電腦及週|-38 3 -6|86 86 3 13|0.7 54|10 1 0 -8 -21
3217 優群|電子零組|3 20 -4|85 85 -2 18|0.8 484|8 -1 -6 10 13
3218 大學光|生技醫療|4 4 -11|70 83 -3 -14|1.1 192|16 -20 -2 58 67
3221 台嘉碩|通信網路|3 -2 20|84 84 -0 6|1.0 40|4 -1 0 24 10
3227 原相|半導體業|50 76 42|87 87 -2 23|0.9 460|25 1 -0 33 25
3228 金麗科|半導體業|-17 46 32|94 94 92 306|1.2 1064|7 1 0 -24 -89
3230 錦明|光電業|-55 -16 -4|73 82 10 0|1.4 9|1 -0 0 -28 -100
3231 緯創|電腦及週|31 10 16|77 93 36 10|1.2 10043|29 -1 -2 12 13
3232 昱捷|電子通路|20 38 22|91 91 42 37|1.9 53|11 4 0 -37 -4
3234 光環|通信網路|8 7 29|91 91 32 48|1.3 168|3 1 0 -32 na
3257 虹冠電|半導體業|30 84 -68|78 86 -7 -15|1.0 20|6 5 0 -2 -29
3260 威剛|半導體業|34 44 33|92 92 -1 9|0.9 710|12 1 -4 -3 -12
3264 欣銓|半導體業|1 -6 -2|94 94 1 18|1.8 438|24 -2 3 -3 39
3265 台星科|半導體業|18 26 26|97 97 41 52|1.5 507|6 -6 0 37 27
3266 昇陽|建材營造|-82 175 -138|92 92 14 48|1.2 9|8 10 0 -12 12
3268 海德威|半導體業|86 39 32|77 77 16 39|1.5 44|1 -1 0 12 18
3276 宇環|電子零組|5 68 12|77 77 -20 47|0.5 12|2 11 0 -10 -8
3284 太普高|其他|45 45 38|100 100 57 70|3.6 10|3 2 0 -7 95
3287 廣寰科|電腦及週|112 100 33|78 78 35 44|0.3 68|2 -0 0 -30 5
3289 宜特|其他電子|-7 0 1|88 88 37 20|1.9 736|9 1 -0 -10 -23
3290 東浦|電子零組|-10 16 6|79 79 -18 -8|0.8 10|2 4 0 -4 6
3293 鈊象|文化創意|32 22 2|96 96 55 72|2.0 929|32 -9 10 19 77
3294 英濟|電子零組|-35 17 12|78 78 138 143|4.4 143|9 2 0 53 -20
3296 勝德|電子零組|12 -5 28|100 100 47 56|0.8 27|6 6 0 -38 -7
3297 杭特|光電業|12 39 42|81 81 13 24|2.0 16|1 0 0 -22 14
3303 岱稜|其他電子|-4 19 21|99 99 18 25|1.6 13|4 2 -0 121 -1
3305 昇貿|其他電子|-11 -1 17|85 85 -3 1|0.8 130|7 9 -0 -13 -19
3306 鼎天|通信網路|-43 4 -6|66 80 -8 -26|0.4 20|0 -2 0 -21 2
3308 聯德|電子零組|-75 -65 -139|58 58 4 -40|2.8 25|0 1 0 33 -91
3311 閎暉|通信網路|8 16 10|91 91 7 -3|0.9 17|3 5 0 -10 -29
3312 弘憶股|電子通路|-7 13 24|81 81 69 106|2.2 470|12 4 0 112 22
3313 斐成|建材營造|na na na|80 80 102 113|2.3 36|1 -0 0 na na
3317 尼克森|半導體業|-36 -7 -7|82 82 -16 4|0.8 19|5 6 0 -3 -9
3321 同泰|電子零組|-9 28 13|92 92 27 47|1.3 27|1 -0 0 na na
3322 建舜電|電子零組|-38 18 9|96 96 7 17|2.1 54|7 9 0 -21 -42
3324 雙鴻|其他電子|-26 0 3|100 100 84 85|2.1 5054|24 -1 2 -5 -18
3325 旭品|電腦及週|33 37 -30|96 96 8 25|4.9 70|3 1 0 -20 -11
3338 泰碩|電子零組|-33 4 13|90 90 13 8|4.1 209|9 0 0 32 -24
3339 泰谷|光電業|3 10 13|100 100 36 52|1.8 53|9 6 0 39 6
3346 麗清|汽車工業|31 37 -9|92 92 9 6|1.1 115|11 8 -0 -1 -33
3354 律勝|電子零組|28 32 38|81 81 77 77|1.1 75|1 0 0 -9 51
3356 奇偶|光電業|19 6 9|89 100 17 13|2.7 41|3 2 0 21 -1
3357 臺慶科|電子零組|-22 -6 8|93 93 5 7|1.8 47|12 12 0 22 -40
3360 尚立|電子通路|-57 -48 -23|77 77 37 32|0.9 82|3 -0 0 -11 80
3362 先進光|光電業|-16 30 11|83 83 31 50|0.5 1144|9 6 0 -17 -17
3363 上詮|通信網路|-11 -6 10|97 97 63 98|0.4 1904|11 2 -0 -4 -59
3372 典範|半導體業|12 27 34|84 84 35 53|4.1 99|3 1 0 85 -1
3373 熱映|其他電子|-34 -31 -58|74 74 -14 24|0.3 8|1 1 0 10 4
3374 精材|半導體業|11 14 26|89 92 -5 11|1.3 424|8 2 -0 -6 -29
3376 新日興|電子零組|51 46 44|91 91 62 143|2.0 2737|24 1 2 -4 158
3380 明泰|通信網路|-43 -26 -6|76 88 -6 -8|0.7 118|8 -9 -0 3 20
3388 崇越電|電子零組|-29 5 17|97 97 4 7|2.4 5|7 6 0 14 14
3390 旭軟|電子零組|-26 -6 2|80 80 20 77|0.6 175|4 1 0 38 -38
3402 漢科|其他電子|13 38 35|94 94 39 85|1.1 122|8 -4 0 1 38
3406 玉晶光|光電業|43 38 23|93 93 0 2|0.8 632|26 14 0 -20 -33
3413 京鼎|半導體業|-2 -5 6|95 95 24 31|1.8 434|28 2 3 70 26
3416 融程電|電腦及週|20 11 11|91 91 9 4|1.7 58|5 -2 -0 -22 48
3419 譁裕|通信網路|-42 -33 -0|73 83 -11 -13|1.4 7|2 8 0 -3 -9
3430 奇鈦科|化學工業|-2 0 15|96 96 3 5|3.7 6|1 3 0 -19 -2
3434 哲固|光電業|55 71 67|91 91 17 14|1.8 9|1 -0 0 2 51
3437 榮創|光電業|22 28 19|79 79 -4 74|0.8 213|6 -1 0 -11 38
3438 類比科|半導體業|21 28 22|93 93 15 23|0.5 80|5 5 0 -21 -11
3443 創意|半導體業|-22 -23 -27|77 78 -10 4|0.6 5087|25 -2 -1 -10 -28
3444 利機|電子通路|3 11 9|83 83 -9 35|0.6 47|11 -1 0 9 13
3450 聯鈞|半導體業|-9 -0 15|90 90 17 62|2.0 1373|7 -2 1 -10 12
3454 晶睿|光電業|-52 -42 -26|51 86 -10 -15|0.7 34|2 1 -0 -2 -0
3455 由田|光電業|-18 -10 25|92 98 6 10|2.0 24|4 -4 0 47 19
3466 德晉|通信網路|-73 -49 -64|69 91 12 7|0.9 6|7 5 0 -18 -12
3479 安勤|電腦及週|-17 -15 -14|85 85 6 4|0.6 162|9 -1 -4 -11 3
3481 群創|光電業|-10 12 6|86 88 12 12|0.8 1156|28 -1 -5 0 49
3483 力致|電腦及週|1 22 4|85 85 -2 8|1.5 927|7 -2 -0 -11 21
3484 崧騰|電子零組|1 -3 30|90 90 -7 8|2.2 8|5 -1 0 -0 -24
3489 森寶|建材營造|152 52 55|95 95 63 84|0.7 10|2 -1 0 0 72
3490 單井|光電業|-59 -52 -17|89 89 14 10|0.4 14|1 1 0 -5 44
3491 昇達科|通信網路|-21 4 11|87 90 -4 5|2.7 102|5 4 -4 25 -35
3499 環天科|通信網路|5 67 42|88 88 25 11|0.5 10|1 1 0 -8 na
3501 維熹|電子零組|-20 4 14|98 98 5 7|2.1 16|6 3 0 43 -25
3504 揚明光|光電業|-42 -17 11|67 83 -6 -5|0.4 69|1 -1 0 -10 4
3508 位速|其他電子|-27 -29 3|62 78 -14 -21|1.8 5|1 2 0 -100 na
3515 華擎|電腦及週|4 18 -3|90 90 39 25|2.3 570|12 -1 4 20 -3
3516 亞帝歐|光電業|-23 47 23|76 76 44 43|2.4 33|1 0 0 9 55
3518 柏騰|其他電子|-54 -8 -6|76 81 -19 -2|1.1 8|6 -2 0 -3 -2
3520 華盈|電子零組|-48 8 13|79 88 9 9|0.8 29|1 0 0 -23 -5
3521 台鋼建設|建材營造|99 -2 -15|77 85 19 -12|0.7 9|2 4 0 na na
3522 御嵿|觀光餐旅|77 26 -0|91 91 2 41|0.9 14|4 14 0 na na
3526 凡甲|電子零組|-12 33 15|93 93 15 19|2.4 129|17 12 -0 13 2
3527 聚積|半導體業|-27 0 19|80 83 -10 4|0.5 16|8 -1 0 -8 -8
3529 力旺|半導體業|23 15 7|85 85 12 46|1.0 1836|59 0 -4 42 13
3530 晶相光|半導體業|-43 -13 -8|81 81 6 47|0.9 364|40 -0 0 -16 12
3532 台勝科|半導體業|-24 -11 1|85 85 4 11|1.0 116|48 -9 -0 -9 29
3533 嘉澤|電子零組|-23 10 16|98 98 34 36|1.8 1590|45 -1 1 21 25
3535 晶彩科|光電業|-74 -79 -5|84 84 10 12|0.4 81|2 1 0 -21 7
3540 曜越|電腦及週|1 1 -35|91 96 26 34|6.7 39|4 0 0 42 1
3543 州巧|光電業|2 20 6|83 83 3 18|0.6 14|2 -0 0 -15 42
3545 敦泰|半導體業|-1 29 8|71 71 -23 26|0.8 459|25 -9 0 23 7
3546 宇峻|文化創意|24 6 18|95 98 2 1|2.3 8|10 6 0 -5 -4
3548 兆利|電子零組|80 81 30|99 99 22 132|1.8 2695|9 0 1 -7 -56
3551 世禾|綠能環保|8 4 7|84 84 39 48|2.6 277|6 -2 0 98 78
