# 2023-08 月中(2023-08-11,上月月報甫公佈)全池量化快照(1150 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2501 國建|建材營造|-52 35 -52|91 91 -2 -5|0.7 11|7 -4 0 19 34
2504 國產|建材營造|-8 -1 -2|97 97 1 9|0.8 46|14 -0 -1 -9 -11
2505 國揚|建材營造|-58 -83 -37|95 97 5 4|0.8 7|6 5 0 -21 4
2515 中工|建材營造|31 68 48|91 91 2 23|0.3 84|16 -12 -0 8 40
2520 冠德|建材營造|-19 -5 -19|100 100 19 21|1.8 69|17 12 0 88 -34
2530 華建|建材營造|-29 -20 -16814|98 98 13 50|0.9 25|2 9 1 16 -0
2534 宏盛|建材營造|-67 -67 -100|82 88 -4 -8|0.5 23|7 2 0 5 -0
2535 達欣工|建材營造|-17 -19 -16|97 97 1 15|0.9 20|7 3 0 -32 -20
2536 宏普|建材營造|10 25 -17|95 95 0 15|0.8 9|10 -2 0 35 5
2539 櫻花建|建材營造|-100 na na|96 96 26 40|1.1 28|1 -1 0 37 -17
2540 愛山林|建材營造|55 113 81|95 97 20 18|0.9 36|1 13 0 9 20
2542 興富發|建材營造|2306 1239 908|97 100 4 4|1.1 88|11 11 -0 19 -17
2545 皇翔|建材營造|-54 -59 -9|93 93 -3 2|0.3 7|3 1 -4 4 -9
2546 根基|建材營造|-20 19 -27|97 97 15 39|0.5 10|4 -9 1 17 -13
2548 華固|建材營造|-85 -90 -44|98 98 2 9|0.8 32|19 10 3 -27 -0
2597 潤弘|建材營造|-2 -7 -13|88 89 -4 -8|0.3 9|1 -10 0 -7 40
2603 長榮|航運業|-63 -62 -21|81 99 30 37|0.5 2825|27 4 -1 -13 -8
2605 新興|航運業|15 1 -5|73 73 -11 -2|0.8 45|35 -12 0 -1 5
2606 裕民|航運業|11 1 9|77 77 -12 -7|0.9 153|7 1 -7 2 -1
2607 榮運|航運業|-25 -20 -44|84 98 8 8|1.0 57|15 9 -0 -4 -14
2608 嘉里大榮|航運業|-5 -6 1|89 97 0 0|1.2 9|5 -6 0 -9 45
2609 陽明|航運業|-69 -68 -17|68 84 5 8|0.4 1234|12 -0 0 -6 12
2610 華航|航運業|27 29 20|92 92 35 36|0.9 1744|15 4 -0 -16 11
2611 志信|航運業|-20 -19 12|71 86 4 0|0.5 6|1 6 0 12 0
2612 中航|航運業|-9 -16 -12|90 90 5 10|0.9 22|2 -2 0 15 91
2614 東森|其他|-8 -2 -1|54 67 -18 -32|1.4 26|2 13 -1 -16 -100
2615 萬海|航運業|-66 -67 -13|51 68 -7 -25|0.5 276|41 -3 1 -4 4
2616 山隆|油電燃氣|-12 -15 -2|95 100 3 7|0.8 8|3 -5 0 6 -24
2617 台航|航運業|-6 -3 -14|84 84 -4 8|0.8 35|3 -23 0 -13 108
2618 長榮航|航運業|58 52 15|88 88 29 29|0.7 2766|31 7 -2 -16 -2
2630 亞航|航運業|-12 8 -10|54 54 20 120|0.9 166|5 1 0 na -14
2633 台灣高鐵|航運業|36 83 29|91 91 -6 5|0.6 81|11 -25 2 15 -2
2634 漢翔|航運業|19 24 -19|89 89 8 54|0.8 750|8 0 -2 -2 33
2636 台驊控股|航運業|-47 -53 6|97 97 7 24|0.9 34|16 13 -0 -18 -12
2637 慧洋-KY|航運業|-47 -42 -18|71 71 -21 -18|0.7 163|8 9 -18 10 -17
2640 大車隊|數位雲端|6 16 -1|78 78 -12 14|1.1 8|8 -7 0 -13 65
2641 正德|航運業|-22 -19 -0|78 78 -12 -4|0.7 13|1 4 0 3 -10
2645 長榮航太|航運業|43 33 6|na na 14 na|2.1 279|5 13 -0 na 528
2701 萬企|觀光餐旅|45 38 21|85 85 0 6|0.2 8|1 -7 -3 -14 28
2702 華園|觀光餐旅|-6 -5 -38|77 77 -3 -1|0.2 10|37 1 0 -15 2
2704 國賓|觀光餐旅|-9 14 12|100 100 27 74|0.6 10|11 5 -3 -7 20
2705 六福|觀光餐旅|9 133 59|70 70 -1 11|0.2 43|5 0 0 6 18
2706 第一店|觀光餐旅|46 48 16|81 81 1 10|0.1 9|3 7 -3 -12 -20
2707 晶華|觀光餐旅|16 49 16|77 77 -9 -1|0.3 158|15 0 -5 -10 5
2719 燦星旅|觀光餐旅|3094 2045 789|66 66 64 117|0.4 27|0 0 0 na na
2722 夏都|觀光餐旅|-19 20 -0|57 57 27 94|0.2 59|2 -9 0 6 5
2723 美食-KY|觀光餐旅|0 6 -1|72 72 -24 -21|0.7 79|61 -7 -2 -6 -48
2727 王品|觀光餐旅|19 41 17|81 81 -5 45|0.7 315|37 -2 -1 10 -3
2729 瓦城|觀光餐旅|26 50 21|100 100 24 48|1.9 46|12 19 -2 16 -26
2731 雄獅|觀光餐旅|1058 1323 714|74 74 -21 27|0.6 460|16 1 4 -16 3
2732 六角|觀光餐旅|-2 -1 -1|71 71 -21 -2|0.7 62|11 2 -5 12 -5
2734 易飛網|觀光餐旅|349 397 -50|64 64 41 76|0.2 49|8 1 0 na na
2736 富野|觀光餐旅|-22 69 26|66 66 30 52|0.2 61|4 1 0 -8 12
2739 寒舍|觀光餐旅|33 108 23|57 57 -23 53|0.3 22|3 -3 0 na na
2743 山富|觀光餐旅|1542 1610 527|69 69 55 109|0.9 104|2 -0 0 13 22
2745 五福|觀光餐旅|5418 5636 3228|74 74 58 116|1.1 38|1 1 0 na -12
2748 雲品|觀光餐旅|12 48 6|70 70 4 14|0.3 289|2 1 3 -26 -0
2753 八方雲集|觀光餐旅|8 6 -5|71 71 5 -22|0.9 74|12 -0 -8 -30 14
2754 亞洲藏壽司|觀光餐旅|23 48 11|73 73 -4 12|0.4 33|77 -11 0 -3 -10
2755 揚秦|觀光餐旅|19 16 -2|72 72 11 80|0.5 6|1 -6 0 na 19
2801 彰銀|金融保險|-2 14 -6|98 98 2 7|1.4 347|14 13 1 11 -25
2809 京城銀|金融保險|21 375 235|100 100 6 9|0.5 41|13 20 -1 -19 -51
2812 台中銀|金融保險|9 17 2|98 98 8 19|0.5 66|10 -10 2 -46 -6
2816 旺旺保|金融保險|21 38 20|98 98 20 29|1.9 7|1 -2 0 352 56
2820 華票|金融保險|193 93 73|92 97 -0 -1|1.0 13|7 1 0 2 13
2832 台產|金融保險|5 12 14|100 100 10 17|0.8 7|3 -7 1 -11 24
2834 臺企銀|金融保險|9 14 -8|96 96 1 3|1.0 239|19 8 2 -8 -48
2836 高雄銀|金融保險|17 6 9|91 98 2 -1|0.9 5|7 2 0 7 -3
2838 聯邦銀|金融保險|8 32 13|95 95 -1 -1|0.9 23|6 -7 0 8 21
2845 遠東銀|金融保險|14 16 -6|99 99 9 4|0.4 55|10 1 -0 -12 -10
2850 新產|金融保險|16 11 5|99 100 13 11|0.6 8|10 -10 -1 -12 -11
2851 中再保|金融保險|40 12 10|100 100 28 37|0.8 53|3 20 0 43 -35
2855 統一證|金融保險|169 127 -145|97 97 26 20|1.3 44|9 5 1 -1 -14
2880 華南金|金融保險|-7 12 3|94 97 1 -2|0.8 157|18 4 4 1 -31
2881 富邦金|金融保險|7 -8 57|98 98 12 13|0.7 1055|19 -2 1 12 -3
2882 國泰金|金融保險|62 26 63|98 98 9 11|0.8 812|21 13 2 -4 -11
2883 凱基金|金融保險|-19 -34 34|89 93 -5 -5|0.7 577|23 12 -13 1 -9
2884 玉山金|金融保險|-8 18 9|95 99 5 8|0.7 501|31 5 2 -57 -13
2885 元大金|金融保險|29 18 25|99 99 13 14|1.2 449|26 27 -1 -31 -57
2886 兆豐金|金融保險|1 45 29|96 96 11 18|1.1 782|21 -8 9 3 -5
2887 台新新光金|金融保險|45 34 18|100 100 7 20|0.6 381|25 2 1 1 -33
2889 國票金|金融保險|7 42 49|87 87 -2 -5|0.4 41|10 4 0 -16 -20
2890 永豐金|金融保險|14 20 13|100 100 11 9|1.5 536|26 -17 15 -30 -31
2891 中信金|金融保險|16 4 50|97 97 10 14|1.2 1270|37 -14 9 13 -35
2892 第一金|金融保險|-13 -1 -8|98 98 5 8|1.9 499|24 -3 2 260 -47
2903 遠百|貿易百貨|-0 12 7|95 95 0 8|0.8 31|11 -16 -3 1 -12
2906 高林|貿易百貨|-7 -21 -10|91 93 14 4|0.6 21|2 8 0 -9 -7
2912 統一超|貿易百貨|9 10 -1|96 96 -3 3|1.1 312|29 -41 4 46 -65
2913 農林|貿易百貨|-5 12 8|80 80 10 14|1.9 560|12 5 0 14 -29
2915 潤泰全|貿易百貨|-6 -14 -11|89 93 14 -4|1.1 127|8 -11 11 6 12
2916 滿心|居家生活|-15 34 12|90 90 22 66|0.7 7|23 -8 0 -8 54
3003 健和興|電子零組|-25 -18 -6|82 82 -2 5|0.3 68|3 -12 -2 5 44
3004 豐達科|鋼鐵工業|47 35 -24|86 86 8 30|2.3 94|3 1 0 -2 2
3005 神基|電腦及週|-1 -3 -19|90 90 7 50|0.4 200|34 2 0 17 -8
3006 晶豪科|半導體業|-18 -31 15|79 79 -5 -2|0.3 224|10 2 -2 -11 -2
3008 大立光|光電業|-11 -16 -15|88 88 -3 -2|0.5 1080|36 -11 4 6 15
3010 華立|電子通路|-10 -10 2|100 100 15 9|2.2 19|11 13 -0 17 -4
3011 今皓|電子零組|-37 -23 6|90 90 5 75|0.5 51|2 0 -0 na na
3013 晟銘電|電腦及週|-4 4 -17|71 71 97 116|0.7 714|5 -3 0 -1 82
3014 聯陽|半導體業|51 40 50|87 87 41 72|1.3 661|28 4 4 50 29
3015 全漢|電子零組|-9 -5 3|92 92 10 32|0.5 15|13 -1 0 -4 -49
3016 嘉晶|半導體業|-30 -30 -16|68 82 2 -17|0.5 66|1 -8 0 -10 21
3017 奇鋐|電腦及週|6 8 -3|90 90 83 177|1.3 7034|38 -3 1 11 -30
3019 亞光|光電業|-6 -9 2|92 92 7 3|0.8 57|11 4 0 -5 -20
3022 威強電|電腦及週|-26 -2 -37|82 82 -10 6|0.5 129|22 -5 -0 -7 3
3023 信邦|電子零組|2 11 -9|85 85 -10 6|0.7 463|63 -11 -6 107 35
3024 憶聲|光電業|-24 13 13|91 91 24 30|1.1 78|7 5 0 8 18
3025 星通|通信網路|-18 32 32|74 74 33 94|0.3 257|4 0 -0 -23 3
3026 禾伸堂|電子零組|-5 -10 1|97 97 3 12|0.7 24|12 -16 0 -1 24
3027 盛達|通信網路|70 146 82|78 78 7 20|0.6 131|4 -10 -0 -0 -7
3028 增你強|電子通路|-12 -21 4|96 96 4 14|0.3 16|5 -8 0 -1 33
3029 零壹|資訊服務|11 5 -0|91 91 5 43|0.7 231|6 5 -0 8 -45
3030 德律|其他電子|-42 -47 -27|96 96 1 3|0.7 18|15 10 -0 -14 -3
3032 偉訓|電子零組|35 40 27|89 89 36 102|1.4 1034|8 -3 -0 -31 104
3033 威健|電子通路|14 7 7|87 87 6 19|0.5 123|9 -12 -0 -4 24
3034 聯詠|半導體業|41 19 43|90 90 6 14|1.2 1517|49 7 -4 5 -2
3035 智原|半導體業|-9 -12 -20|77 77 86 56|0.5 2821|28 1 -1 0 -14
3036 文曄|電子通路|15 -1 -10|99 99 12 11|2.6 108|11 -0 -0 -2 7
3037 欣興|電子零組|-27 -30 -28|86 86 14 42|0.6 7409|44 0 -1 21 -0
3038 全台|光電業|-4 -2 -10|85 85 25 68|0.8 173|9 -4 0 12 59
3041 揚智|半導體業|-61 -60 -19|69 78 -4 -18|0.7 12|10 -13 0 -7 33
3042 晶技|電子零組|-20 -27 -4|97 97 13 13|1.1 181|15 10 -13 13 -23
3043 科風|其他電子|88 56 1|81 81 -1 38|1.6 8|2 4 0 5 22
3044 健鼎|電子零組|-10 -17 -5|99 99 71 85|3.1 3033|42 4 4 205 -15
3045 台灣大|通信網路|7 6 -3|94 94 -5 2|0.8 261|15 -16 -4 -5 -22
3046 建碁|電腦及週|64 55 -6|70 70 -14 36|0.3 92|2 -6 0 -22 114
3047 訊舟|通信網路|-28 -29 -20|78 86 -1 -3|0.8 38|2 -0 0 -5 -16
3048 益登|電子通路|-16 -19 -11|89 92 1 -3|0.5 10|3 -7 0 -2 8
3051 力特|光電業|-28 -34 -9|98 98 54 42|1.5 104|2 -1 0 19 64
3052 夆典|建材營造|30 33 8|89 89 1 16|2.3 13|3 3 0 -49 24
3055 蔚華科|電子通路|-45 -35 3|87 87 38 41|1.2 198|2 0 0 28 94
3056 富華新|建材營造|135 23 -6443|92 92 7 64|1.0 209|8 12 -0 5 -60
3057 喬鼎|電腦及週|-47 -48 -5|81 81 10 14|0.6 8|2 0 0 na na
3058 立德|電子零組|-37 -30 -17|63 63 -18 103|0.3 34|3 2 0 na na
3059 華晶科|光電業|-38 -41 -50|87 91 -0 -3|0.4 43|11 -2 -0 -1 12
3060 銘異|電腦及週|6 -22 17|84 84 13 8|0.5 17|6 -1 0 -14 -5
3062 建漢|通信網路|-41 -50 -82|64 80 -7 -16|0.5 27|12 -4 0 -8 3
3071 協禧|電腦及週|-36 -22 -22|75 75 26 52|0.4 197|2 -1 0 -19 -2
3078 僑威|電子零組|153 116 83|94 94 56 177|1.0 1335|7 2 0 -15 -40
3081 聯亞|通信網路|-74 -66 -76|56 73 5 -22|0.8 176|18 -7 0 3 77
3083 網龍|文化創意|-25 -30 -19|81 81 -4 -7|0.2 10|1 4 0 -14 14
3088 艾訊|電腦及週|24 21 5|88 88 31 55|1.2 278|16 2 0 -12 7
3090 日電貿|電子零組|0 -3 8|97 97 3 7|0.5 18|7 7 0 -9 -11
3092 鴻碩|電子零組|-30 -39 -2|90 96 20 17|1.3 54|2 1 0 -5 -32
3093 港建*|其他電子|-15 -22 -10|80 80 -1 17|0.5 8|68 -4 0 -2 30
3094 聯傑|半導體業|-41 -28 -21|80 80 -10 3|0.2 13|3 -1 0 -16 2
3105 穩懋|半導體業|2 -10 29|75 78 1 -15|0.8 911|31 -11 -3 24 30
3114 好德|電子零組|-20 -8 14|91 91 9 9|0.4 12|1 4 0 -30 -24
3128 昇銳|光電業|1 -3 -8|64 71 -9 -23|0.5 13|1 -2 0 -15 -30
3131 弘塑|半導體業|-6 -4 5|76 76 41 109|0.9 1223|11 -3 6 na 60
3138 耀登|通信網路|12 -2 -20|80 80 -3 -2|0.7 39|1 -7 0 9 35
3141 晶宏|半導體業|-30 -36 -0|64 75 -7 -11|0.7 143|5 -2 0 -2 -8
3147 大綜|資訊服務|12 6 21|96 96 21 38|0.4 30|3 3 0 3 1
3149 正達|光電業|-27 -27 -12|57 66 -9 -31|0.4 8|2 -0 0 0 na
3152 璟德|通信網路|20 7 28|81 81 -4 -9|0.8 28|16 -5 -6 16 -12
3162 精確|電機機械|33 48 -77|76 76 -6 -7|0.3 31|44 -2 0 -2 2
3163 波若威|通信網路|-16 -26 -23|89 89 80 72|2.2 1949|6 -0 0 18 65
3169 亞信|半導體業|-40 -33 1|77 77 -2 0|0.6 48|1 -5 0 1 29
3178 公準|半導體業|1 11 -2|83 83 16 26|0.1 28|1 -3 0 -5 6
3189 景碩|半導體業|-49 -46 -24|81 88 4 7|0.5 553|11 -6 2 -3 28
3191 雲嘉南|電子零組|-1 15 22|82 82 62 68|1.3 8|0 -0 0 na na
3202 樺晟|電子零組|47 19 18|79 79 -21 6|0.3 14|3 3 0 -1 -10
3205 佰研|生技醫療|-29 -20 -5|61 84 17 1|0.3 55|10 -0 0 -10 8
3206 志豐|電子零組|-6 -15 -3|100 100 28 54|4.2 9|4 2 0 34 11
3207 耀勝|電子零組|-25 -8 -30|77 77 1 35|0.6 199|1 -1 0 -18 20
3209 全科|電子通路|5 -17 -29|82 82 -7 -7|1.3 62|2 -17 0 29 59
3211 順達|電腦及週|-8 1 2|99 99 7 10|1.0 24|12 12 0 -4 -28
3213 茂訊|電腦及週|23 13 -3|93 93 39 60|3.7 69|7 0 0 155 128
3217 優群|電子零組|36 18 27|89 89 31 45|1.0 532|7 1 -3 -10 71
3218 大學光|生技醫療|15 25 -2|86 86 -2 13|0.6 105|33 -9 -6 -3 41
3221 台嘉碩|通信網路|-46 -59 -25|73 90 5 9|0.4 18|3 -4 0 2 42
3224 三顧|電子通路|5 -5 23|69 69 -23 -12|1.2 11|2 -2 0 -1 11
3227 原相|半導體業|14 -3 22|86 86 13 8|0.9 208|15 -3 0 75 100
3228 金麗科|半導體業|-17 -32 -8|29 54 -31 -43|1.0 119|8 5 -0 -12 -2
3231 緯創|電腦及週|-15 -17 -12|73 73 143 272|1.6 13854|38 2 -2 12 -33
3232 昱捷|電子通路|33 27 -4|62 76 -18 -21|0.1 5|8 -2 0 -3 1
3234 光環|通信網路|-34 -40 1|74 74 30 21|0.4 43|1 1 0 -29 -64
3236 千如|電子零組|-46 -41 -33|83 83 -7 5|0.7 9|12 -14 0 5 5
3252 海灣|觀光餐旅|4 1 -6|75 75 11 9|0.1 9|7 -5 0 6 5
3257 虹冠電|半導體業|196 146 140|87 87 24 69|4.4 83|9 4 0 142 4
3260 威剛|半導體業|-15 -17 3|82 82 8 19|0.5 381|12 -1 -8 -8 1
3264 欣銓|半導體業|-11 -7 -16|92 92 17 12|0.6 452|26 -10 4 6 35
3265 台星科|半導體業|-11 -17 -11|90 90 49 73|0.6 391|4 -0 0 8 15
3272 東碩|電腦及週|-46 -47 -76|70 77 -3 3|0.5 9|0 1 0 -17 -35
3284 太普高|其他|-31 -20 -41|77 77 7 17|0.3 6|2 -1 0 -4 17
3287 廣寰科|電腦及週|46 74 67|81 81 49 81|0.5 28|1 -6 0 -16 81
3289 宜特|其他電子|-4 4 -7|82 82 31 14|0.5 538|14 -5 -3 28 19
3290 東浦|電子零組|-8 3 -10|84 84 -6 6|0.6 26|3 2 0 3 -5
3293 鈊象|文化創意|18 21 7|88 88 11 20|0.7 590|37 -7 4 -4 -26
3296 勝德|電子零組|-49 -55 -21|85 89 -2 -3|0.9 5|3 -4 0 -0 3
3305 昇貿|其他電子|-22 -26 6|84 84 38 42|0.6 294|3 -1 -0 4 60
3306 鼎天|通信網路|-28 -6 -3|88 88 98 111|1.4 242|1 -2 0 -19 -23
3308 聯德|電子零組|253 236 97|91 91 11 188|1.8 45|1 1 0 8 62
3310 佳穎|電子零組|133 41 25|94 94 40 75|0.9 7|0 -3 0 -5 126
3312 弘憶股|電子通路|-19 -18 0|91 91 2 21|1.3 9|4 -13 0 4 -1
3317 尼克森|半導體業|12 -8 11|83 88 7 -6|1.6 14|3 5 0 -9 -16
3322 建舜電|電子零組|-7 3 22|88 88 10 3|1.1 35|4 9 0 1 -38
3323 加百裕|電腦及週|-44 -13 7|94 95 9 -1|2.7 7|3 -4 0 -4 -2
3324 雙鴻|其他電子|-9 -20 -4|82 82 23 80|1.5 2820|18 1 2 -6 -9
3325 旭品|電腦及週|156 97 70|94 94 65 141|2.2 249|2 -0 0 18 24
3338 泰碩|電子零組|-24 -29 -5|76 76 36 82|0.8 472|12 0 -0 17 32
3346 麗清|汽車工業|48 97 51|88 88 21 30|0.6 198|10 -1 0 1 -1
3356 奇偶|光電業|-8 -5 -9|78 78 19 18|0.8 128|4 -7 0 -5 15
3357 臺慶科|電子零組|-12 -19 2|82 82 7 7|0.6 40|12 -5 0 35 120
3362 先進光|光電業|30 10 17|91 91 63 86|1.0 818|3 1 0 -5 32
3363 上詮|通信網路|-23 -25 9|71 71 57 131|0.5 441|10 1 0 8 -38
3372 典範|半導體業|-13 -24 24|86 86 16 13|0.4 10|1 0 0 -11 3
3374 精材|半導體業|-16 -26 -10|79 79 20 9|0.3 264|8 6 -1 -27 -20
3376 新日興|電子零組|-23 -22 -2|95 96 -3 6|0.7 37|19 -21 -2 -17 61
3380 明泰|通信網路|-41 -22 -40|79 79 8 23|0.4 227|13 2 -0 -41 54
3402 漢科|其他電子|-21 -15 -22|96 96 5 14|0.7 12|4 -13 0 10 80
3406 玉晶光|光電業|10 1 -2|88 93 1 7|0.7 676|18 -8 -3 -10 -1
3413 京鼎|半導體業|-30 -13 -22|88 92 4 -6|1.0 60|20 -1 -0 1 10
3416 融程電|電腦及週|6 5 -7|89 89 14 53|1.6 62|6 3 -0 -32 1
3419 譁裕|通信網路|-44 -39 -51|82 82 -6 2|0.4 13|1 -3 0 -6 -4
3438 類比科|半導體業|6 -6 31|86 86 15 9|0.3 13|2 -6 0 -13 36
3441 聯一光電|光電業|-37 -40 -6|77 77 -2 -3|0.3 16|1 -4 0 -2 47
3443 創意|半導體業|14 23 -25|67 67 13 43|1.2 7391|33 -0 -3 45 37
3444 利機|電子通路|16 7 25|83 83 19 19|0.3 110|11 2 0 -11 -1
3447 展達|通信網路|-71 -67 -91|na 64 -7 -5|0.6 20|0 -9 0 -15 277
3450 聯鈞|半導體業|-30 -31 -11|78 78 17 3|0.6 108|8 -2 0 17 111
3454 晶睿|光電業|21 22 -49|61 61 -5 -25|0.5 164|2 -3 0 -8 1
3455 由田|光電業|-59 -57 -41|82 82 -4 -11|1.1 25|3 -12 0 -9 15
3479 安勤|電腦及週|23 5 -35|81 81 -12 22|0.5 99|10 -9 -1 9 21
3481 群創|光電業|17 7 33|89 89 15 22|0.9 1253|28 7 -1 -3 -100
3483 力致|電腦及週|26 9 17|89 89 115 150|3.5 554|7 -1 1 -8 -16
3484 崧騰|電子零組|-49 -48 -9|70 81 -10 -11|0.6 7|4 -2 0 -13 -7
3491 昇達科|通信網路|-21 -34 -26|77 77 -12 5|0.5 87|9 -11 -0 -4 36
3498 陽程|其他電子|44 158 61|78 78 18 -1|0.3 12|4 -2 0 -8 19
3499 環天科|通信網路|7 9 21|81 81 4 9|0.4 9|1 -3 0 -9 13
3501 維熹|電子零組|-20 -20 -16|92 92 -3 7|0.5 14|6 -27 0 8 67
3504 揚明光|光電業|-54 -50 -25|57 72 -14 -22|0.4 51|2 -0 0 -6 7
3508 位速|其他電子|-41 -34 1|65 73 -2 -24|0.4 9|0 -0 0 -16 na
3511 矽瑪|電子零組|-62 -57 -42|77 84 1 -3|0.3 5|0 -13 0 2 33
3515 華擎|電腦及週|32 24 23|79 79 74 58|0.6 953|15 8 -4 -37 1
3518 柏騰|其他電子|7 -0 38|88 88 29 80|0.5 68|6 -0 -0 35 51
3521 台鋼建設|建材營造|82 87 61|77 80 -4 -3|0.5 12|0 -4 0 na -50
3526 凡甲|電子零組|-3 3 13|89 89 35 38|6.5 56|9 7 1 44 -21
3527 聚積|半導體業|-18 -30 7|74 75 -7 -17|0.4 12|5 -0 0 -6 -18
3529 力旺|半導體業|-13 -2 -15|83 83 7 18|1.4 894|59 -3 -4 63 -25
3530 晶相光|半導體業|-17 -21 22|77 78 -8 -12|0.7 7|39 -6 0 6 18
3532 台勝科|半導體業|-15 -10 -22|81 85 3 -1|0.7 241|48 -2 -9 -0 4
3533 嘉澤|電子零組|-8 -12 -17|77 77 -16 -11|1.1 1032|35 9 -16 32 -24
3535 晶彩科|光電業|-10 -60 -50|70 81 0 -11|1.1 5|1 -8 0 -8 14
3537 堡達|電子零組|35 11 20|98 98 5 2|1.0 9|2 -6 0 26 82
3540 曜越|電腦及週|40 41 7|73 73 -2 53|0.3 105|9 -4 0 -34 -2
3541 西柏|其他電子|-28 -30 -14|67 68 -28 -24|0.6 6|1 -1 0 14 7
3545 敦泰|半導體業|65 16 36|76 76 -10 -2|0.8 118|15 -6 -0 -1 6
3546 宇峻|文化創意|-24 -28 -14|89 89 5 13|0.3 18|10 -15 0 -9 10
3548 兆利|電子零組|62 42 43|100 100 11 25|1.9 28|10 5 -1 -30 38
3551 世禾|綠能環保|-13 -7 -9|94 94 20 24|1.2 20|6 -1 0 0 -8
3552 同致|其他電子|-2 5 -3|66 78 -9 -17|0.6 52|12 -8 0 -12 5
3556 禾瑞亞|半導體業|-24 -29 -1|96 96 2 11|0.5 6|6 -9 0 -19 24
3557 嘉威|居家生活|-8 -11 4|79 79 -16 10|1.1 9|20 12 0 9 12
3558 神準|通信網路|-4 1 -64|82 82 8 14|1.1 917|1 0 2 -17 -5
3563 牧德|光電業|2 6 20|81 81 7 38|0.5 50|10 -5 -0 -16 -11
3564 其陽|通信網路|-45 -36 -34|58 58 32 21|0.5 42|2 2 0 na na
3570 大塚|資訊服務|11 2 -20|80 80 -6 38|0.8 8|43 -3 0 na na
3576 聯合再生|光電業|-30 -38 -50|71 75 -18 -20|1.0 104|14 11 0 -4 -5
3577 泓格|電腦及週|-21 -25 -29|87 89 4 2|0.8 5|1 -4 0 3 16
3580 友威科|其他電子|-39 -28 -44|77 91 11 -5|3.8 20|3 0 3 -5 25
3581 博磊|半導體業|7 3 -3|98 98 50 57|4.0 96|8 -0 0 212 453
3583 辛耘|半導體業|13 16 -1|85 85 147 191|1.8 3320|10 -0 0 -24 25
3587 閎康|其他電子|26 32 4|93 93 64 57|1.9 550|16 -3 9 -3 17
3588 通嘉|半導體業|-7 -30 18|81 87 8 -10|0.8 60|2 -0 0 27 35
3591 艾笛森|光電業|18 4 6|87 87 6 14|0.9 43|8 -2 0 16 43
3592 瑞鼎|半導體業|21 -8 27|82 82 8 -1|0.7 127|13 3 -1 -4 -31
3594 磐儀|電腦及週|0 2 -16|80 80 -3 46|0.5 42|2 -4 -1 -10 1
3596 智易|通信網路|7 3 -18|93 93 26 37|1.5 650|23 -1 3 0 3
3605 宏致|電子零組|-21 -22 -2|76 82 3 -11|0.5 6|10 -5 0 5 -8
3607 谷崧|電子零組|-4 -6 9|88 88 11 34|0.4 16|6 -6 0 4 27
3611 鼎翰|電腦及週|-1 6 -5|91 91 16 35|1.6 56|14 1 0 5 7
3617 碩天|其他電子|8 9 -10|96 96 61 108|0.9 321|12 -0 1 0 -35
3622 洋華|光電業|53 4 12|99 99 19 34|1.4 10|3 5 0 -17 2
3624 光頡|電子零組|-10 -20 0|67 67 -19 -11|0.3 43|42 2 -9 -4 -1
3630 新鉅科|光電業|48 25 49|84 84 15 14|0.6 16|36 3 0 -10 -1
3645 達邁|電子零組|90 16 48|92 92 42 41|0.5 51|11 4 0 24 -37
3652 精聯|電腦及週|-22 4 4|68 68 2 27|0.1 15|3 -1 0 -13 33
3653 健策|電子零組|17 4 -20|87 87 26 46|0.8 941|23 7 -13 45 -4
3661 世芯-KY|半導體業|137 152 38|82 82 29 90|0.9 6143|60 5 -3 -15 -44
3663 鑫科|其他電子|1 -17 6|79 79 8 20|1.1 38|1 -0 0 -4 -19
3664 安瑞-KY|通信網路|11 19 4|56 56 -35 91|0.5 5|43 4 0 na na
3665 貿聯-KY|其他電子|-10 -10 -42|83 86 9 6|0.9 569|47 -1 -0 -3 9
3666 光耀|光電業|41 -9 37|89 89 19 36|0.6 19|1 -0 0 -16 17
3673 TPK-KY|光電業|-37 -33 -15|78 78 -8 17|0.6 88|37 -9 -0 8 -10
3675 德微|半導體業|-24 -25 -12|78 78 -11 11|0.3 157|52 -2 1 -10 51
3680 家登|半導體業|16 4 -20|72 72 -5 9|0.8 638|19 -3 -11 32 56
3685 元創精密|電機機械|24 3 2|62 86 10 9|0.4 5|0 -1 0 3 13
3687 歐買尬|數位雲端|3 -6 -5|73 73 3 -1|0.1 56|3 -2 0 -17 19
3689 湧德|電子零組|29 5 10|94 94 61 88|2.2 401|10 -1 0 89 83
3691 碩禾|光電業|-57 -66 -19|51 68 -18 -24|0.5 16|4 -2 0 -11 -8
3693 營邦|電腦及週|92 57 -27|95 95 166 277|1.8 2941|3 -1 -0 11 -35
3694 海華|通信網路|-14 -0 5|79 79 22 56|1.3 97|5 -4 0 18 26
3701 大眾控|電腦及週|31 17 5|80 80 -3 39|0.5 81|4 -10 -0 -10 76
3702 大聯大|電子通路|-2 -13 3|94 94 10 12|0.8 304|26 -16 19 21 7
3703 欣陸|建材營造|5 -2 8|88 90 -5 -4|0.8 48|24 -1 1 14 -12
