# 2024-12-02 全池(1168 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1817 凱撒衛|玻璃陶瓷|19 14 1|97 97 4 8|0.7 9|4 5 0 18 11
1904 正隆|造紙工業|-5 15 8|72 75 -16 -25|0.6 17|9 -19 -0 -7 12
1905 華紙|造紙工業|-15 -5 -6|71 80 -7 -19|0.3 13|4 2 -0 0 0
1907 永豐餘|造紙工業|-1 4 -2|87 91 -1 2|0.4 18|13 -6 1 -0 7
1909 榮成|造紙工業|8 1 -1|77 83 -11 -12|0.4 12|12 -21 -0 9 10
2002 中鋼|鋼鐵工業|-4 -5 -4|80 89 -4 -9|0.6 380|14 -17 3 9 4
2006 東和鋼鐵|鋼鐵工業|-13 -10 -14|87 87 -11 1|0.9 63|16 -25 -0 2 11
2009 第一銅|鋼鐵工業|14 14 -8|65 74 -8 -24|0.3 32|3 -0 -0 -7 -5
2010 春源|鋼鐵工業|21 16 5|81 90 2 -9|0.5 17|8 -9 0 14 -25
2014 中鴻|鋼鐵工業|-32 -34 -22|69 84 2 -12|0.4 90|4 -10 4 1 14
2015 豐興|鋼鐵工業|-20 -5 -3|87 87 -10 4|0.8 18|12 -19 12 -31 24
2020 美亞|鋼鐵工業|1 -18 -1|74 76 2 -24|1.2 17|3 10 0 -1 -8
2023 燁輝|鋼鐵工業|-7 -13 -18|83 93 2 1|0.6 18|6 -8 -0 10 7
2027 大成鋼|鋼鐵工業|-5 -11 0|89 90 -4 -5|1.3 365|18 19 -26 35 -48
2030 彰源|鋼鐵工業|-11 -7 -2|85 91 -1 -4|0.3 7|3 12 0 -14 -22
2031 新光鋼|鋼鐵工業|6 -14 -10|71 71 -17 -18|0.5 32|12 -15 -0 10 18
2033 佳大|鋼鐵工業|1 0 2|85 85 37 46|0.1 10|1 -1 0 15 8
2034 允強|鋼鐵工業|-1 -4 5|76 80 -14 -17|0.7 18|7 -12 0 81 -25
2038 海光|鋼鐵工業|-13 5 0|72 80 -3 -17|0.2 7|2 -4 0 6 34
2049 上銀|電機機械|9 1 2|83 93 11 6|0.4 439|28 7 1 -35 -13
2059 川湖|電子零組|56 69 5|100 100 24 37|1.0 1657|17 2 4 -23 -26
2062 橋椿|居家生活|-16 -11 -25|84 84 -6 26|1.1 55|13 -10 3 11 15
2066 世德|電機機械|15 7 5|77 77 4 -15|0.9 17|12 5 0 -2 21
2069 運錩|鋼鐵工業|3 -10 0|90 90 3 10|0.4 7|4 8 0 -11 -1
2070 精湛|電機機械|36 45 6|75 75 -1 145|2.2 73|2 -0 0 -21 -36
2101 南港|橡膠工業|8 304 213|77 83 -6 -22|0.8 111|8 7 0 1 -1
2102 泰豐|橡膠工業|164 114 126|89 89 0 5|0.8 13|6 -7 0 4 1
2103 台橡|橡膠工業|29 27 10|90 90 -2 -6|0.5 28|27 -11 -0 -8 0
2104 國際中橡|橡膠工業|-14 -9 -9|75 85 -8 -14|0.9 11|11 0 -0 -1 -9
2105 正新|橡膠工業|2 1 -1|84 93 0 -7|0.8 410|14 -10 17 -36 11
2106 建大|橡膠工業|-5 -4 -6|83 83 -8 -15|0.5 25|10 -7 -0 3 40
