date,nav,cash,active,turnover,requested_turnover,commission,tax,slippage_cost,blocked_orders,partial_orders,filled_orders
2014-07-25,2579088.4896909245,955.0407568515611,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-28,2507723.182422421,955.0407568515611,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-07-29,2478672.042274159,413025.6728402498,5,0.16588897436484717,0.16588897436484717,177.90091660178962,1240.467,0.0,0,0,1
2014-07-30,2505360.3915115176,747610.2087905844,4,0.1687291806611903,0.16884252641147765,289.7592526557263,1132.376804220392,323.3793143059848,0,0,5
2014-07-31,2479289.6417081207,27926.992166901997,6,0.3079903394679243,0.3078396076565947,484.44509207378803,76.55488729752976,402.5332736618987,1,0,5
2014-08-01,2444653.227441538,41.369119809763106,6,0.4067242903653287,0.40690974640719707,292.82280996048553,1447.5701498628846,353.9528515128633,0,1,6
2014-08-04,2466641.3951913617,593.1848262635178,5,0.14841543536497717,0.14841574114085868,298.08747722763775,547.7098869624965,187.93239052974963,0,0,7
2014-08-05,2451091.2275831616,1228584.3357652165,6,0.9093258937160665,0.9096064186364815,1281.8732097810728,5225.0977348808765,1221.5666453762235,0,0,7
2014-08-06,2459830.461251566,1228584.3357652165,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-08-07,2445564.30989001,1232972.2531606315,4,0.026563466074858946,0.026564482289785345,100.0,105.06597848486686,33.0454954126363,1,0,5
2014-08-08,2438147.8807783127,1218287.4937758541,4,0.4062035291433284,0.40631367611265384,620.2160395481499,1468.5980437883898,270.5782501240447,0,0,5
2014-08-11,2441476.1179038207,1717078.1182382132,3,0.2068081357343515,0.20691524295486916,325.4665825708112,1507.682009871794,263.2183782365918,1,0,3
2014-08-12,2452203.728719362,1221398.9578967392,4,0.20744649917146543,0.20733976354611475,345.6691843982748,17.574272495072492,266.73995032856186,0,0,4
2014-08-13,2448475.062496349,1225971.5595212246,5,0.3242195419282508,0.3242179628174099,491.95909805208095,1203.5577918543904,415.2304286057877,1,0,4
2014-08-14,2427700.2577114147,1222773.0328363592,5,0.3438406161807853,0.3438418516410965,512.5005773870931,1261.9602136717263,442.0380673783842,1,0,5
2014-08-15,2422856.5922437245,1211081.1740031948,5,0.14225614315526888,0.1422197983121977,229.5145843098988,500.6800177956875,99.5842088004461,1,0,5
2014-08-18,2404391.983977322,1214548.6750184535,5,0.14480910074996114,0.14482839682936238,238.22000386272126,534.5809207888933,137.70463954235552,1,0,5
2014-08-19,2408116.382055681,1203598.4988495156,5,0.4065131559469523,0.4065173443524456,596.3038399043136,1458.0069446558477,534.9858597022826,1,0,6
2014-08-20,2412880.20800312,1203119.9470658046,4,0.41089952682374736,0.41088703644820096,602.8866134557763,1490.6580238735814,549.3804055759672,1,0,5
2014-08-21,2330442.411917645,28.473992568571703,4,0.9059711399900879,0.9072391412543196,1247.2196342012278,1481.612971407052,371.0884741012026,0,1,5
2014-08-22,2360973.687830943,28.473992568571703,4,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-08-25,2356804.4044348844,8.415406024898402,4,0.8172011544206766,0.8194548610628496,1149.0911457986776,2906.900652677241,646.7875039795135,0,1,5
2014-08-26,2341163.5576168485,1.1320762026589364,5,0.6813245708218962,0.6838889070590282,955.1038325722377,2413.6653528274946,945.9872659453104,1,1,4
2014-08-27,2326347.3970553624,34.40616021169626,5,0.8168282023570488,0.8195191877047119,1170.2038452271968,2896.5969180311436,1134.256125269302,0,1,7
2014-08-28,2305004.8615028774,8.691202867077664,5,0.8161161235117583,0.8191814459994388,1130.046289149701,2860.0844662021805,957.3914865698677,1,1,6
2014-08-29,2320922.431545647,24.063325295515824,5,0.8174117467509949,0.8198039166536109,1127.9676750935428,2825.215148165621,1037.3799036046792,0,1,7
2014-09-01,2358255.505986323,320.42978422570786,6,0.5743244517313352,0.5750830444095123,485.3434513360659,2020.7123103805814,783.362001728989,0,1,7
2014-09-02,2328675.891349273,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-03,2341708.0066831186,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-04,2328234.742809376,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-05,2331045.4995102324,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-09,2355792.722701126,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-10,2350208.6170778107,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-11,2329093.4842736404,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-12,2305158.3052163394,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-15,2298450.1366538634,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-16,2283486.7641913434,320.42978422570786,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-17,2301703.2201324953,115727.51561967815,5,0.050360988729454416,0.050360988729454416,66.01772219444206,347.46169576022135,0.0,0,0,1
2014-09-18,2324784.89725511,115727.51561967815,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-19,2331676.195718035,115727.51561967815,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-22,2291614.4570674263,115727.51561967815,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-23,2281805.6288111517,1142503.7985231723,6,0.49916832734438604,0.4994095460090728,652.8659372793211,3264.108141471582,553.4941593178894,0,0,6
2014-09-24,2295314.6710520317,1250416.3610880324,5,0.05964421302462028,0.059669031322508954,142.58630748472362,366.46577417195346,70.28463358366203,1,0,5
2014-09-25,2272232.797206101,1250416.3610880324,5,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-26,2271898.6372245317,1295832.89210993,4,0.020149288325628567,0.0201593708788338,25.980171896150924,136.73774682184697,22.807515336107826,0,0,1
2014-09-29,2273727.1217814796,1295832.89210993,4,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-09-30,2267861.1059792307,1136492.9503303631,6,0.08209947605329934,0.08206403925067254,172.52516240170831,41.110299834363886,94.2487707976979,0,0,6
2014-10-01,2276019.709481024,1136492.9503303631,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-02,2271914.184619361,1136492.9503303631,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-03,2294935.7448600493,1136492.9503303631,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-06,2301110.0591368265,1136492.9503303631,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-07,2293519.470456846,1136492.9503303631,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-08,2275969.626561077,1136492.9503303631,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-09,2279425.9966979027,1136492.9503303631,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-13,2242647.391096497,1136492.9503303631,6,0.0,0.0,0.0,0.0,0.0,0,0,0
2014-10-14,2242085.504614874,1257036.06337328,5,0.07386824919646455,0.07386406123643179,135.85748198745264,428.88358387363996,12.511820565055665,0,0,6
