# 2025-04 月中(2025-04-11,上月月報甫公佈)全池量化快照(1174 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2108 南帝|橡膠工業|-5 5 -25|61 75 -17 -20|3.2 13|7 -5 0 -14 -4
2109 華豐|橡膠工業|2 9 1|90 92 -1 -6|3.2 7|15 -10 0 -50 -17
2114 鑫永銓|橡膠工業|6 8 11|85 93 -0 -6|3.4 6|4 0 0 65 -44
2201 裕隆|汽車工業|-11 -13 -13|48 61 -31 -39|1.9 120|7 7 0 -30 2
2204 中華|汽車工業|-29 -34 -21|43 70 -22 -9|1.9 114|21 12 -3 -37 -8
2206 三陽工業|汽車工業|1 -9 -6|83 96 1 -4|4.2 89|10 12 4 2 -21
2207 和泰車|汽車工業|-2 5 4|83 89 -3 -10|2.1 191|23 4 5 -25 -4
2208 台船|航運業|62 7 29|90 97 17 -3|1.9 63|6 8 -0 na -40
2211 長榮鋼|鋼鐵工業|-1 41 8|52 69 -9 -28|1.2 79|8 -18 7 -53 -4
2227 裕日車|汽車工業|-38 -40 -17|42 51 -21 -49|1.7 7|41 -24 -0 na na
2228 劍麟|汽車工業|8 3 1|63 63 -20 -31|2.1 15|8 2 0 -36 3
2230 泰茂|居家生活|-17 58 -103|57 59 -6 -40|1.3 36|2 -3 0 1 -9
2231 為升|汽車工業|-2 -17 -24|59 71 -26 -25|2.3 31|4 -1 -0 -6 -16
2233 宇隆|汽車工業|-5 6 -3|51 51 -46 -9|0.3 98|9 18 -2 -48 -32
2236 百達-KY|汽車工業|569 398 305|61 61 -29 -29|0.6 27|63 -4 0 -27 -16
2241 艾姆勒|汽車工業|5 -5 16|42 61 -22 -29|1.4 16|9 1 0 -16 -5
2247 汎德永業|汽車工業|-14 11 -4|87 88 -3 0|3.0 31|6 -4 7 -8 4
2250 IKKA-KY|汽車工業|0 3 4|58 58 -28 -10|0.2 84|8 3 -0 -25 -30
2254 巨鎧精密-創|汽車工業|-2 142 25|72 80 -13 -1|0.4 5|24 -9 0 2 88
2258 鴻華先進-創|汽車工業|-30 968 56|75 75 -14 -17|0.9 31|0 2 0 na na
2301 光寶科|電腦及週|24 27 24|74 78 -13 -12|1.4 803|27 -10 9 -27 37
2302 麗正|半導體業|21 33 13|70 70 -9 -4|1.0 30|5 -2 0 -21 26
2303 聯電|半導體業|9 6 0|76 84 2 -16|1.4 1964|23 -13 18 -12 8
2308 台達電|電子零組|38 31 18|77 77 -19 -12|1.6 3489|65 4 1 -35 -13
2312 金寶|其他電子|16 28 14|57 57 -25 -11|0.8 144|15 1 0 -22 -16
2313 華通|電子零組|14 9 0|54 68 -31 -24|1.2 409|17 12 -9 -23 -13
2316 楠梓電|電子零組|19 10 12|55 60 -30 -38|1.2 14|28 -0 0 -31 -3
2317 鴻海|其他電子|23 28 6|59 61 -26 -31|3.1 7846|33 -10 -0 -30 -2
2324 仁寶|電腦及週|-2 1 3|68 69 -24 -19|1.8 886|43 -7 0 -13 26
2327 國巨*|電子零組|11 9 -4|54 70 -20 -29|1.7 951|49 -7 -0 -19 17
2328 廣宇|電子零組|10 27 30|64 64 -13 0|0.7 1476|19 0 -0 -30 -0
2329 華泰|半導體業|7 -2 5|42 64 -13 -24|0.9 94|7 3 0 -23 -6
2330 台積電|半導體業|46 42 1|79 79 -17 -11|1.8 35047|72 -12 1 -8 11
2331 精英|電腦及週|-1 3 6|41 61 -29 -37|1.6 30|8 6 0 -42 -8
2332 友訊|通信網路|-11 -6 1|58 58 -34 -16|0.6 89|16 13 0 -38 -19
2337 旺宏|半導體業|7 7 6|63 71 -4 -28|1.1 464|13 -5 0 1 58
2338 光罩|半導體業|-15 -11 -10|37 52 -36 -49|1.5 37|6 4 0 -32 -7
2340 台亞|半導體業|11 1 -5|46 54 -29 -46|1.0 35|9 -3 0 -30 -4
2342 茂矽|半導體業|45 58 11|62 62 -28 -31|1.5 11|7 -8 0 -15 5
2344 華邦電|半導體業|1 -1 -6|56 73 6 -25|0.7 1379|11 -2 0 -54 -24
2345 智邦|通信網路|127 127 64|66 66 -34 -2|1.1 2569|59 -1 -0 -38 -31
2347 聯強|電子通路|-4 -10 -12|75 87 -9 -8|1.5 349|31 14 -0 -39 -1
2348 海悅|其他|66 -18 -57|34 49 -38 -29|0.9 86|2 7 0 -57 -3
2351 順德|半導體業|14 7 3|40 48 -29 -53|1.1 113|11 -8 0 -28 15
2352 佳世達|電腦及週|6 6 4|56 63 -27 -35|2.2 109|11 -3 1 -35 3
2353 宏碁|電腦及週|7 4 -5|54 72 -22 -24|1.7 356|22 8 -9 -39 -6
2354 鴻準|其他電子|281 250 142|56 56 -28 -16|1.1 506|20 3 -1 -44 -23
2355 敬鵬|電子零組|4 -5 -1|56 71 -24 -29|1.4 42|13 -6 0 -39 2
2356 英業達|電腦及週|20 22 -8|67 74 -23 -5|1.4 549|12 -13 7 -38 15
2357 華碩|電腦及週|29 21 -4|72 72 -18 -11|1.4 2896|46 -13 6 2 96
2359 所羅門|其他電子|58 54 49|62 62 -31 -22|0.3 359|5 -0 0 -29 -12
2360 致茂|其他電子|47 57 26|57 57 -25 -33|0.8 447|67 -1 0 -54 2
2362 藍天|電腦及週|-21 -24 -29|64 68 -17 -34|1.4 61|11 11 0 -48 -10
2363 矽統|半導體業|1424 1280 639|44 54 -35 -41|1.3 214|8 10 0 -38 -7
2364 倫飛|電腦及週|51 50 19|54 71 -12 -30|1.1 14|19 6 0 -43 -14
2365 昆盈|電腦及週|14 6 -18|45 58 -34 -41|0.3 89|2 3 -0 -30 -9
2367 燿華|電子零組|-4 5 -15|51 66 -32 -35|1.1 133|9 9 0 -33 -13
2368 金像電|電子零組|51 34 6|68 70 -28 -10|0.9 1020|17 4 -1 -19 31
2369 菱生|半導體業|-4 -11 -2|52 59 -25 -29|1.6 12|14 6 0 -33 3
2371 大同|電機機械|7 -2 2|56 73 -17 -19|1.1 733|8 6 0 -30 -2
2374 佳能|光電業|-7 26 0|58 58 -33 -15|0.3 257|7 7 0 -50 -20
2375 凱美|電子零組|13 12 1|61 61 -24 -22|0.7 42|6 -3 0 -32 11
2376 技嘉|電腦及週|-8 25 -63|61 66 -26 -24|1.3 793|14 -7 10 -38 6
2377 微星|電腦及週|23 12 3|63 63 -31 -25|0.9 577|26 -3 -7 -30 -31
2379 瑞昱|半導體業|31 37 16|90 90 -5 8|1.2 1058|51 -4 9 -9 4
2382 廣達|電腦及週|89 88 36|63 66 -25 -19|1.8 4096|20 -7 1 -33 22
2383 台光電|電子零組|65 69 12|78 78 -19 14|1.1 2288|36 3 -4 -18 12
2385 群光|電子零組|-0 2 -1|69 83 -4 -11|1.3 800|25 -12 4 -24 12
2387 精元|電腦及週|-20 -3 -7|68 68 -19 -13|1.1 60|21 -9 -0 -27 -16
2388 威盛|半導體業|-17 -4 -27|47 49 -32 -51|0.7 276|9 6 -0 -35 -11
2392 正崴|電子零組|1 14 1|52 53 -33 -25|1.3 102|10 16 0 -48 -11
2393 億光|光電業|1 2 -14|83 83 -12 1|1.0 119|23 5 3 -32 -12
2395 研華|電腦及週|26 26 21|80 80 -3 6|1.0 536|38 -7 7 -33 59
2397 友通|電腦及週|33 37 38|63 66 -22 -24|1.4 10|25 -14 0 -17 1
2399 映泰|電腦及週|-8 -19 -4|41 41 -30 -56|0.9 23|9 25 0 -40 -26
2401 凌陽|半導體業|5 19 1|53 65 -28 -34|1.0 32|14 3 -0 -28 -9
2402 毅嘉|電子零組|31 22 6|70 70 -14 -26|1.2 65|7 4 -0 -32 -10
2404 漢唐|其他電子|-16 -3 19|87 87 -6 35|1.8 1269|22 -4 9 -70 1
2405 輔信|電腦及週|4 -2 2|56 68 -25 -22|0.6 58|5 8 0 -30 -16
2406 國碩|光電業|-37 -38 -114|38 56 -26 -45|1.2 14|6 -8 0 -19 21
2408 南亞科|半導體業|-19 -25 -24|44 72 19 -26|0.8 2275|8 -1 2 -16 57
2409 友達|光電業|22 21 6|63 68 -17 -29|1.4 502|21 -15 -1 -20 7
2412 中華電|通信網路|5 2 -1|99 99 5 5|3.7 1215|16 15 5 657 -11
2413 環科|電子零組|-1 5 24|60 60 -27 -16|1.4 7|3 12 0 -16 -18
2414 精技|電子通路|9 24 12|94 95 3 7|3.3 5|5 -4 0 -5 2
2417 圓剛|電腦及週|4 0 1|60 63 -25 -18|0.4 43|2 5 -0 -41 -11
2419 仲琦|通信網路|-28 -8 -18|52 55 -32 -37|1.4 13|2 3 0 -27 2
2420 新巨|電子零組|-8 1 -5|64 64 -19 -34|2.1 19|7 -7 -1 -51 -4
2421 建準|電子零組|41 42 18|58 71 -17 -17|1.0 343|20 9 -0 -52 -31
2423 固緯|其他電子|-3 -0 5|90 90 1 8|2.2 10|6 -4 0 -52 -20
2425 承啟|電腦及週|91 55 50|57 62 -12 -40|0.7 21|7 -3 0 -17 -13
2426 鼎元|光電業|17 11 4|56 56 -36 -41|1.0 15|9 15 0 -46 -11
2427 三商電|資訊服務|-47 -1 -7|62 72 -22 -20|0.6 36|3 1 0 -24 -10
2428 興勤|電子零組|27 22 8|69 71 -16 -27|1.8 17|15 -3 0 -5 13
2429 銘旺科|光電業|-9 201 168|61 61 23 39|0.4 543|9 -0 0 -8 -13
