market,fn_date,content_date,kind,bytes,path
twse,2016-04-06,2016-04-06,csv,103288,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_6.csv
twse,2016-04-07,2016-04-07,csv,103446,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_7.csv
twse,2016-04-08,2016-10-18,csv,106446,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_4_8.csv
twse,2016-05-10,2016-05-10,csv,104123,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_10.csv
twse,2016-05-11,2016-05-11,csv,103944,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_11.csv
twse,2016-05-12,2016-05-12,csv,104329,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_12.csv
twse,2016-05-13,2016-05-13,csv,105188,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_13.csv
twse,2016-05-16,2016-05-16,csv,104321,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_16.csv
twse,2016-05-17,2016-05-17,csv,104235,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_17.csv
twse,2016-05-18,2016-05-18,csv,104013,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_18.csv
twse,2016-05-19,2016-05-19,csv,104098,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_19.csv
twse,2016-05-20,2016-05-20,csv,104059,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_20.csv
twse,2016-05-23,2016-05-23,csv,105019,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_23.csv
twse,2016-05-24,2016-05-24,csv,103810,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_24.csv
twse,2016-05-25,2016-05-25,csv,103314,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_25.csv
twse,2016-05-26,2016-05-26,csv,103343,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_26.csv
twse,2016-05-27,2016-05-27,csv,103436,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_27.csv
twse,2016-05-03,2016-05-03,csv,103688,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_3.csv
twse,2016-05-30,2016-05-30,csv,103054,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_30.csv
twse,2016-05-31,2016-05-31,csv,103012,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_31.csv
twse,2016-05-04,2016-05-04,csv,103905,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_4.csv
twse,2016-05-05,2016-05-05,csv,104454,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_5.csv
twse,2016-05-06,2016-05-06,csv,104098,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_6.csv
twse,2016-05-09,2016-05-09,csv,103568,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_5_9.csv
twse,2016-06-01,2016-06-01,csv,103472,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_1.csv
twse,2016-06-13,2016-06-13,csv,104240,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_13.csv
twse,2016-06-14,2016-06-14,csv,103688,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_14.csv
twse,2016-06-15,2016-06-15,csv,103587,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_15.csv
twse,2016-06-16,2016-06-16,csv,104901,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_16.csv
twse,2016-06-17,2016-06-17,csv,103907,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_17.csv
twse,2016-06-02,2016-06-02,csv,103352,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_2.csv
twse,2016-06-20,2016-06-20,csv,103440,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_20.csv
twse,2016-06-21,2016-06-21,csv,103465,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_21.csv
twse,2016-06-22,2016-06-22,csv,103128,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_22.csv
twse,2016-06-23,2016-06-23,csv,102638,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_23.csv
twse,2016-06-24,2016-06-24,csv,103977,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_24.csv
twse,2016-06-27,2016-06-27,csv,103137,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_27.csv
twse,2016-06-28,2016-06-28,csv,103383,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_28.csv
twse,2016-06-29,2016-06-29,csv,103392,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_6_29.csv
