出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/24","102/8","2034","允強","鋼鐵工業","1978284","2068384","2046365","-4.356057675944118","-3.3269235937870323","15757902","16894047","-6.7251203929999726","-"
"108/11/24","102/8","2038","海光","鋼鐵工業","882947","918731","903966","-3.8949376912284444","-2.325198071608888","7381535","8841482","-16.512469289650763","-"
"108/11/24","102/8","2049","上銀","電機機械","1070377","1080430","1036244","-0.9304628712642189","3.293915332682264","7327688","8315758","-11.881899401112923","-"
"108/11/24","102/8","2059","川湖","電子零組件業","333465","327507","304370","1.819197757605181","9.559089266353451","2506256","2246388","11.568259801957632","-"
"108/11/24","102/8","2062","橋椿","其他","555371","564963","463191","-1.6978102990815327","19.90107752525416","3966415","3568633","11.146621129155058","-"
"108/11/24","102/8","2101","南港","橡膠工業","1196694","1248087","1086178","-4.117741792038536","10.17475956979427","9094055","9815396","-7.349076899189804","本合併營業額公告係屬公司自結數,與每季會計師所出具之合併財報因匯率之故將存有略微差距,屆時請以公告之合併財報為準."
"108/11/24","102/8","2102","泰豐","橡膠工業","747528","755215","706128","-1.0178558423760122","5.86295969002787","5848651","6749233","-13.343471769310677","-"
"108/11/24","102/8","2103","台橡","橡膠工業","2921175","2559268","3682501","14.141035639878277","-20.674155960853778","24758075","31775457","-22.08428347702442","-"
"108/11/24","102/8","2104","國際中橡","橡膠工業","1823045","1770644","1930935","2.959431709592668","-5.5874485676628165","14668962","16086021","-8.809257429167847","-"
"108/11/24","102/8","2105","正新","橡膠工業","11819529","11986054","11987374","-1.389322958164547","-1.400181557695622","89353675","87825257","1.7402943665738433","無。"
"108/11/24","102/8","2106","建大","橡膠工業","2547526","2433481","2495045","4.68649642220342","2.1034089565518856","19653511","20027181","-1.8658142651229845","-"
"108/11/24","102/8","2107","厚生","橡膠工業","251228","307114","249242","-18.19715154633133","0.7968159459481147","2773122","2414521","14.851848461868835","-"
"108/11/24","102/8","2108","南帝","橡膠工業","706143","569894","798202","23.90777934142139","-11.533296082946421","5900302","6619284","-10.86193008186384","-"
"108/11/24","102/8","2109","華豐","橡膠工業","655199","592216","479942","10.635139881394625","36.51628738472566","5040956","4608877","9.374930161946175","-"
"108/11/24","102/8","2114","鑫永銓","橡膠工業","155321","153804","193804","0.9863202517489792","-19.856659305277496","1205976","1453940","-17.054623987234688","-"
"108/11/24","102/8","2201","裕隆","汽車工業","7797178","7246862","7264766","7.593852346022319","7.328687531023022","57182119","56636541","0.9632968228056159","-"
"108/11/24","102/8","2204","中華","汽車工業","2297591","3343264","3046665","-31.277009533198694","-24.58668741066051","24258748","30615361","-20.762822296950866","-"
"108/11/24","102/8","2206","三陽工業","汽車工業","2616738","3054346","3074203","-14.327387925271072","-14.880767470463075","22340875","23326642","-4.2259275895776165","-"
"108/11/24","102/8","2207","和泰車","汽車工業","9629039","13925744","10594622","-30.854401746865374","-9.113897598234274","96206782","93816961","2.5473229728684132","-"
"108/11/24","102/8","2208","台船","航運業","1969165","2209539","2545570","-10.878920897074005","-22.643455100429374","16467038","21344666","-22.851741976192084","-"
"108/11/24","102/8","2227","裕日車","汽車工業","1986990","3165033","1843970","-37.22055978563257","7.75609147654246","19591208","21563718","-9.147355757481154","-"
"108/11/24","102/8","2228","劍麟","汽車工業","256549","266044","251087","-3.5689585181398567","2.1753416146594606","2007767","1851208","8.457126373697607","-"
"108/11/24","102/8","2231","為升","汽車工業","124972","120449","111859","3.7551162732774865","11.722793874431204","942916","883086","6.775104576451217","-"
"108/11/24","102/8","2233","宇隆","汽車工業","167660","165409","109507","1.3608691183671988","53.10436775731232","1154173","863761","33.621800474899885","-"
"108/11/24","102/8","2301","光寶科","電腦及週邊設備業","18967971","17890878","18826330","6.020347352432899","0.7523558760523161","133230484","143907340","-7.4192574193922285","-"
"108/11/24","102/8","2302","麗正","半導體業","49822","52372","61099","-4.86901397693424","-18.45693055532824","410080","405875","1.0360332614721282","-"
"108/11/24","102/8","2303","聯電","半導體業","10998405","11557852","10354681","-4.8404063315571095","6.2167439054858376","82242377","77358981","6.312642613531841","-"
"108/11/24","102/8","2305","全友","電腦及週邊設備業","65105","56247","57803","15.748395469980622","12.632562323754822","467825","519256","-9.90474833222919","-"
"108/11/24","102/8","2308","台達電","電子零組件業","15411305","14765827","16034145","4.371431413899133","-3.884460318900696","112451829","114474237","-1.7666927100811338","-"
"108/11/24","102/8","2312","金寶","其他電子業","2794083","3717989","4447201","-24.849616284502186","-37.17209993431824","31101262","23094503","34.66954452321403","-"
"108/11/24","102/8","2313","華通","電子零組件業","2915750","2663498","2345297","9.47070356350934","24.323273342352802","19098901","16251516","17.520734680998377","1.資料係自行結算 2.經會計師查核之合併財報與部份被投資公司財報日期差異3個月"
"108/11/24","102/8","2314","台揚","通信網路業","501404","603566","557284","-16.926400758160664","-10.02720336489115","4508286","5299992","-14.937871604334497","-"
"108/11/24","102/8","2316","楠梓電","電子零組件業","491977","539959","645626","-8.88623025081534","-23.798452974322597","3839009","4572703","-16.045083181654263","-"
"108/11/24","102/8","2317","鴻海","其他電子業","280428415","300252609","273446558","-6.602505159247426","2.5532802647309243","2286517874","2471951869","-7.501521260404443","-"
"108/11/24","102/8","2321","東訊","通信網路業","717410","659955","533582","8.705896614163088","34.451686900982416","5022791","4682144","7.275449025062023","-"
"108/11/24","102/8","2323","中環","光電業","1273152","1176248","1648347","8.238398705034992","-22.76189418854161","10610470","13668911","-22.37516214715276","-"
"108/11/24","102/8","2324","仁寶","電腦及週邊設備業","52101687","50864590","51719251","2.4321379568772694","0.739446130029996","437335988","434415439","0.6722940157750701","-"
