# 2023-02-01 全池(872 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
2360 致茂|其他電子|-23 39 12|88 91 8 7|1.1 146|66 4 2 -23 4|PB位11 PE位4 殖3.8|益23.6→24.9
2363 矽統|半導體業|75 -12 7|80 83 14 1|0.8 21|5 11 0 -4 -10|PB位84 PE位38 殖10.4|益-232.5→-255.8
2364 倫飛|電腦及週|-4 39 27|66 66 -5 49|0.2 37|20 6 0 -24 7|PB位87 PE位54 殖1.0|益-0.7→0.4
2367 燿華|電子零組|-26 0 -32|77 77 4 8|0.3 47|9 6 0 -7 12|PB位17 PE位81 殖0.0|益-0.9→2.8
2368 金像電|電子零組|7 15 -9|87 87 9 -2|0.9 580|19 -6 -12 34 15|PB位40 PE位2 殖2.5|益18.3→18.6
2369 菱生|半導體業|-27 -37 -16|63 89 13 -4|1.5 6|15 0 0 -5 -8|PB位42 PE位59 殖8.8|益6.9→3.3
2371 大同|電機機械|61 71 53|93 96 10 2|0.5 131|17 9 0 -18 -9|PB位39 PE位8 殖0.0|益10.3→1.8
2374 佳能|光電業|-16 9 -50|70 83 3 -14|0.5 7|6 -1 0 -2 -1|PB位66 PE位74 殖4.8|益-1.2→-0.4
2375 凱美|電子零組|-28 -26 -6|53 85 24 -6|1.5 15|8 11 0 -16 4|PB位10 PE位27 殖3.1|益6.4→5.9
2376 技嘉|電腦及週|14 -6 3|88 98 26 46|0.9 616|19 11 5 -32 -41|PB位69 PE位41 殖10.3|益8.7→6.4
2377 微星|電腦及週|-21 -26 -17|91 100 20 26|1.0 275|31 10 2 -25 -52|PB位25 PE位33 殖7.8|益8.7→7.4
2379 瑞昱|半導體業|-31 -20 -28|66 96 28 6|0.8 707|46 5 3 -14 -9|PB位12 PE位14 殖8.2|益16.5→15.5
2380 虹光|電腦及週|-21 5 -1|74 80 -1 -9|1.1 6|1 -4 0 na na|PB位66 PE位na 殖0.0|益-4.0→-0.4
2382 廣達|電腦及週|-15 -3 -17|86 93 11 -4|0.9 388|23 -9 2 -27 -54|PB位15 PE位32 殖8.7|益1.9→2.2
2383 台光電|電子零組|-17 -13 -14|70 96 36 23|1.1 296|37 6 -3 2 -21|PB位26 PE位23 殖5.3|益15.6→15.8
2385 群光|電子零組|-14 -7 -15|99 99 9 13|0.8 97|34 -4 6 -14 -27|PB位7 PE位20 殖7.0|益8.7→9.2
2387 精元|電腦及週|-20 -3 -8|91 93 9 11|0.4 9|7 -21 0 -6 -1|PB位13 PE位3 殖7.8|益3.7→5.7
2388 威盛|半導體業|-11 14 -20|76 76 12 -7|0.3 438|10 4 0 -10 7|PB位33 PE位56 殖1.4|益1.9→2.2
2390 云辰|其他電子|42 17 15|57 79 6 -15|0.4 6|2 14 0 -2 -20|PB位17 PE位na 殖7.8|益-10.1→-9.8
2392 正崴|電子零組|-11 -1 -11|97 97 13 20|0.8 22|12 -1 0 -11 -9|PB位29 PE位66 殖3.9|益2.0→3.7
2393 億光|光電業|-23 -23 -2|72 95 6 0|0.8 15|24 5 0 -8 -14|PB位26 PE位27 殖9.3|益8.5→8.2
2395 研華|電腦及週|1 9 -8|89 98 16 -1|1.3 156|42 0 1 -13 -13|PB位17 PE位16 殖2.3|益18.6→18.4
2399 映泰|電腦及週|-41 -39 -24|65 95 8 5|0.7 16|5 8 0 -12 -11|PB位40 PE位60 殖8.3|益5.1→2.0
2401 凌陽|半導體業|-44 -42 -29|71 86 8 -14|0.9 21|12 17 0 -16 -16|PB位42 PE位35 殖8.2|益13.0→8.2
2402 毅嘉|電子零組|15 33 14|91 91 1 27|0.3 26|11 3 -1 -15 18|PB位60 PE位33 殖2.8|益3.2→3.8
2404 漢唐|其他電子|200 144 57|100 100 46 41|1.6 128|25 21 2 -14 -2|PB位41 PE位29 殖6.2|益12.2→12.9
2405 輔信|電腦及週|-3 -20 -17|75 75 5 -11|0.5 7|5 5 0 -6 -1|PB位39 PE位4 殖0.0|益3.7→1.9
2406 國碩|光電業|-49 -36 -18|73 86 18 -5|0.9 17|6 5 0 -5 -4|PB位31 PE位na 殖0.0|益-1.8→-3.7
2408 南亞科|半導體業|-65 -63 -32|75 96 6 15|1.3 443|15 6 3 -37 -3|PB位19 PE位23 殖6.4|益30.6→25.6
2409 友達|光電業|-43 -43 -11|72 85 -4 4|1.0 426|25 8 2 -14 -29|PB位34 PE位na 殖6.0|益0.5→-6.7
2412 中華電|通信網路|-8 -0 -3|88 90 3 -8|1.9 852|18 -6 -1 -8 -4|PB位56 PE位8 殖4.1|益22.8→22.8
2413 環科|電子零組|26 47 25|94 94 15 49|0.4 21|3 -0 -0 6 -3|PB位84 PE位9 殖0.0|益2.8→4.1
2417 圓剛|電腦及週|-14 -14 2|69 93 15 9|0.4 6|2 18 0 -13 -12|PB位29 PE位77 殖0.7|益5.3→3.5
2419 仲琦|通信網路|36 60 28|86 86 6 -12|0.4 39|2 -7 0 7 11|PB位78 PE位20 殖1.9|益7.3→6.6
2421 建準|電子零組|-14 3 -2|88 88 1 2|0.4 32|23 -16 -0 1 51|PB位23 PE位2 殖2.8|益6.4→7.4
2425 承啟|電腦及週|-39 -21 -20|99 100 24 17|0.6 38|18 4 0 -12 1|PB位30 PE位7 殖1.9|益5.0→5.5
2428 興勤|電子零組|-4 1 1|100 100 28 14|2.0 94|15 4 5 18 52|PB位50 PE位64 殖4.2|益22.4→21.0
2430 燦坤|電子通路|1 -12 -11|82 95 9 8|1.2 5|6 4 0 -4 -26|PB位65 PE位12 殖7.8|益3.7→3.3
2436 偉詮電|半導體業|-34 -31 -14|53 87 14 -4|1.0 37|7 5 0 5 -4|PB位50 PE位72 殖6.2|益16.2→11.9
2439 美律|通信網路|-18 -11 -10|88 88 -2 7|0.6 32|13 14 -1 -8 7|PB位8 PE位12 殖4.9|益1.8→2.6
2441 超豐|半導體業|-41 -40 -24|76 87 15 -7|0.9 48|15 -5 -0 -19 -42|PB位16 PE位18 殖9.4|益28.6→25.1
2444 兆勁|通信網路|20 24 19|89 89 55 42|1.0 45|4 -1 0 na na|PB位96 PE位31 殖0.0|益3.9→4.1
2449 京元電子|半導體業|-10 -7 -18|89 97 18 -1|1.0 99|30 1 6 -13 -6|PB位19 PE位16 殖7.7|益26.4→25.6
2451 創見|半導體業|-30 -26 -11|99 100 3 8|1.1 12|9 20 16 -16 -7|PB位27 PE位19 殖8.9|益16.9→13.1
2454 聯發科|半導體業|-16 -16 -28|69 98 23 6|1.3 3976|61 2 -1 -11 -24|PB位31 PE位16 殖10.1|益25.3→24.7
2455 全新|通信網路|-32 -42 -15|68 97 50 24|1.4 312|29 0 11 22 10|PB位28 PE位27 殖4.7|益26.6→24.6
2457 飛宏|電子零組|-13 2 -13|84 95 11 11|0.4 95|6 4 0 -15 2|PB位60 PE位na 殖0.0|益-2.4→-1.8
2458 義隆|半導體業|-57 -53 -24|65 98 25 -5|0.9 117|26 8 1 -12 -19|PB位19 PE位23 殖13.5|益27.1→25.0
2462 良得電|電子零組|-19 -16 -14|76 97 21 9|1.0 8|1 -1 0 -6 -2|PB位70 PE位83 殖2.1|益-1.9→-0.9
2465 麗臺|電腦及週|-31 -49 -14|65 97 20 47|1.2 163|3 0 0 -2 -1|PB位60 PE位na 殖4.7|益-1.4→-1.2
2468 華經|資訊服務|16 18 10|92 92 41 137|0.5 30|0 -0 1 3 11|PB位99 PE位99 殖1.3|益3.0→2.5
2472 立隆電|電子零組|-20 -11 -16|89 100 21 10|1.4 14|3 18 0 -24 -9|PB位23 PE位12 殖5.4|益19.6→19.8
2474 可成|其他電子|-38 -19 11|99 99 11 17|0.8 259|46 22 4 -20 -23|PB位26 PE位39 殖5.5|益13.6→17.1
2476 鉅祥|電子零組|4 4 -2|78 82 13 1|0.7 18|3 20 0 -5 -6|PB位63 PE位12 殖4.3|益15.2→15.7
2480 敦陽科|資訊服務|-22 -3 -7|93 95 10 -1|1.1 18|6 12 -0 19 0|PB位75 PE位10 殖6.6|益12.6→11.8
2481 強茂|半導體業|-22 -16 -12|65 94 21 6|1.2 111|12 15 -1 -14 -19|PB位33 PE位23 殖4.5|益15.6→13.7
2482 連宇|其他電子|95 141 83|100 100 58 21|3.2 76|21 8 0 -17 26|PB位100 PE位48 殖0.0|益9.3→10.7
2484 希華|電子零組|-12 -14 -15|84 84 17 1|0.5 23|8 7 0 -11 -11|PB位57 PE位4 殖4.3|益23.6→24.8
2485 兆赫|通信網路|14 21 16|88 90 6 2|0.6 9|6 -1 0 -11 5|PB位55 PE位na 殖0.0|益-6.9→-5.9
2486 一詮|光電業|-26 -24 -11|47 86 38 -9|0.4 35|3 6 0 -3 -4|PB位41 PE位63 殖2.2|益0.4→-0.7
2489 瑞軒|光電業|-47 -42 -19|66 86 10 -6|0.5 9|9 21 0 -9 -31|PB位22 PE位na 殖12.4|益0.6→-0.4
2492 華新科|電子零組|-19 -16 -1|65 100 25 8|2.1 91|16 19 3 -20 -20|PB位21 PE位76 殖4.6|益10.2→7.6
2493 揚博|電子零組|8 6 -12|100 100 19 12|1.8 6|5 16 0 -2 -5|PB位97 PE位8 殖5.7|益20.8→21.5
2495 普安|電腦及週|1 31 9|73 73 -2 21|0.3 47|23 -5 0 -12 66|PB位79 PE位16 殖2.3|益6.0→11.5
2497 怡利電|汽車工業|11 29 -18|65 83 19 7|0.4 74|1 0 -0 -5 3|PB位67 PE位10 殖0.0|益6.8→7.2
2498 宏達電|通信網路|-10 -13 0|86 93 21 -5|0.7 1008|14 5 -0 -0 -1|PB位86 PE位na 殖0.0|益-102.4→-103.3
2501 國建|建材營造|-42 106 33|88 94 9 -0|0.5 8|7 15 0 -15 -6|PB位18 PE位22 殖3.7|益-6.2→3.3
2504 國產|建材營造|-7 -3 -1|84 99 14 3|0.9 27|15 -2 6 -14 -14|PB位44 PE位22 殖7.1|益14.8→15.4
2511 太子|建材營造|-45 -36 -44|82 93 6 -3|1.0 6|9 3 0 -23 -7|PB位28 PE位25 殖4.5|益18.0→16.6
2520 冠德|建材營造|-36 50 33|81 97 19 6|0.8 17|15 14 0 -11 -15|PB位18 PE位55 殖8.7|益20.8→19.1
2530 華建|建材營造|33 58097 36394|91 91 -7 22|0.5 6|2 2 -6 -18 -0|PB位92 PE位50 殖0.0|益10.0→12.3
2534 宏盛|建材營造|126 228 155|89 89 -6 -1|0.5 18|7 -11 0 20 5|PB位53 PE位17 殖5.2|益32.5→30.7
2535 達欣工|建材營造|26 4 -16|92 97 3 3|1.1 5|7 -17 0 -22 -18|PB位48 PE位51 殖8.1|益12.3→10.7
2538 基泰|建材營造|58 24 -28|89 89 17 -1|1.0 7|12 1 0 -5 1|PB位89 PE位30 殖3.9|益10.4→16.5
2540 愛山林|建材營造|-14 -36 -26|80 80 -11 12|2.6 23|0 1 0 1 28|PB位97 PE位93 殖12.1|益9.5→9.3
2542 興富發|建材營造|184 57 83|93 93 -0 9|0.6 98|9 -4 0 -35 5|PB位16 PE位88 殖12.0|益19.2→17.2
2545 皇翔|建材營造|-75 -57 -81|77 88 7 -1|1.4 5|4 -13 0 0 2|PB位48 PE位10 殖15.1|益33.0→30.2
2546 根基|建材營造|34 69 35|100 100 20 10|1.5 5|4 12 0 69 -11|PB位88 PE位62 殖6.5|益7.9→7.9
2548 華固|建材營造|-98 -78 -1952|94 94 3 -0|1.4 22|19 4 -1 -19 2|PB位12 PE位22 殖8.5|益26.8→26.0
2597 潤弘|建材營造|3 18 1|91 98 40 44|0.5 11|1 10 11 -6 -17|PB位94 PE位27 殖7.2|益8.5→9.7
2603 長榮|航運業|-44 -29 -68|48 63 7 -30|0.6 3169|29 -5 -1 8 -22|PB位3 PE位3 殖11.8|益67.3→66.2
2605 新興|航運業|6 -9 -5|64 82 11 -14|0.7 50|38 -0 3 -18 3|PB位42 PE位60 殖4.9|益10.2→6.8
2606 裕民|航運業|-15 -24 -28|79 98 40 23|0.6 236|9 9 3 -41 -23|PB位53 PE位21 殖5.9|益31.4→34.0
2607 榮運|航運業|-23 8 -122|65 77 2 -9|0.7 75|6 -9 -1 -2 27|PB位44 PE位1 殖1.5|益19.2→19.4
2608 嘉里大榮|航運業|-5 -8 -5|80 90 11 -6|0.7 8|5 7 0 -9 -16|PB位13 PE位26 殖4.2|益12.5→13.0
2609 陽明|航運業|-53 -42 -63|59 67 -1 -29|0.6 1649|16 -13 0 -10 -16|PB位3 PE位6 殖32.0|益66.3→63.7
2610 華航|航運業|-16 -18 -31|65 86 15 -8|0.8 518|11 5 0 -5 1|PB位63 PE位30 殖4.2|益6.2→3.8
2611 志信|航運業|-55 -48 -45|58 73 8 -27|0.4 7|2 -8 0 -12 11|PB位50 PE位na 殖15.0|益4.2→3.9
2612 中航|航運業|4 3 -22|73 86 18 -2|0.3 38|2 -3 0 -15 33|PB位44 PE位13 殖6.8|益22.7→22.2
2613 中櫃|航運業|-11 -6 -8|53 74 7 -16|0.5 8|1 -14 -1 5 -2|PB位47 PE位9 殖7.4|益12.1→11.8
2614 東森|其他|5 1 -7|58 87 27 -14|0.9 92|3 3 0 -2 17|PB位64 PE位98 殖4.0|益3.2→4.1
2615 萬海|航運業|-51 -44 -72|49 71 9 -27|0.6 1223|43 -3 -0 -12 32|PB位13 PE位13 殖15.7|益56.7→51.6
2616 山隆|油電燃氣|-13 -14 -12|82 89 -5 -9|2.5 6|4 9 0 62 7|PB位17 PE位94 殖8.1|益1.1→0.7
2617 台航|航運業|19 20 -1|74 90 11 -4|0.7 25|3 4 -0 -25 7|PB位41 PE位14 殖7.5|益29.8→30.5
2618 長榮航|航運業|19 15 -20|82 85 26 -3|1.1 823|31 -0 2 6 -9|PB位80 PE位23 殖2.0|益10.5→8.0
2633 台灣高鐵|航運業|13 22 -50|100 100 5 1|1.5 87|11 19 -1 -18 -34|PB位61 PE位83 殖2.6|益15.8→20.7
2634 漢翔|航運業|-5 26 -3|90 93 11 -10|0.5 229|7 -2 3 -4 -13|PB位79 PE位26 殖1.0|益4.8→4.8
2636 台驊控股|航運業|-65 -62 -54|51 80 15 -18|0.4 83|14 -10 0 -21 26|PB位6 PE位8 殖19.7|益10.5→9.8
2637 慧洋-KY|航運業|-27 -16 -53|60 88 13 -10|0.4 258|11 -8 3 -25 25|PB位47 PE位11 殖9.0|益53.0→49.8
2641 正德|航運業|-15 -16 -46|67 84 22 -10|0.3 28|0 -2 0 -7 16|PB位38 PE位9 殖4.4|益46.5→41.9
2642 宅配通|航運業|-1 -1 -2|53 87 19 -1|0.5 17|5 -2 0 -18 62|PB位58 PE位61 殖4.2|益5.1→4.7
2702 華園|觀光餐旅|20 43 -18|79 79 20 15|0.4 6|38 -0 0 -3 9|PB位27 PE位58 殖19.8|益2.1→5.8
2707 晶華|觀光餐旅|18 25 5|95 95 48 53|0.9 392|21 3 -1 62 19|PB位100 PE位100 殖4.8|益17.9→20.2
2723 美食-KY|觀光餐旅|2 2 4|100 100 55 50|0.9 350|56 6 4 12 12|PB位83 PE位100 殖3.3|益3.3→3.7
2727 王品|觀光餐旅|-5 -0 -10|100 100 59 60|2.1 174|23 8 0 113 -7|PB位100 PE位95 殖0.0|益-1.1→1.6
2729 瓦城|觀光餐旅|6 3 -10|100 100 18 29|2.0 18|3 12 4 -10 11|PB位100 PE位83 殖3.2|益-1.2→3.7
2731 雄獅|觀光餐旅|192 164 5|95 95 34 18|0.4 145|10 5 2 -17 -1|PB位99 PE位na 殖0.0|益-45.2→-38.1
2732 六角|觀光餐旅|-5 -9 -11|97 97 39 45|2.3 171|8 -2 1 100 20|PB位77 PE位35 殖1.6|益5.3→6.9
2736 富野|觀光餐旅|-10 -6 -111|76 84 17 -15|0.6 14|6 2 0 3 -14|PB位90 PE位85 殖0.0|益-1.8→4.2
2743 山富|觀光餐旅|1019 509 -148|81 81 26 6|0.4 49|0 0 0 -3 10|PB位91 PE位na 殖0.0|益-32.5→-23.6
2748 雲品|觀光餐旅|26 39 -44|99 99 43 42|2.1 209|3 -1 1 159 49|PB位99 PE位69 殖0.8|益6.0→7.9
2752 豆府|觀光餐旅|22 15 -40|100 100 22 68|2.0 8|2 -11 0 na 0|PB位100 PE位75 殖2.5|益9.1→11.5
2753 八方雲集|觀光餐旅|9 12 -3|96 96 26 56|0.8 264|17 6 5 -18 34|PB位93 PE位96 殖3.0|益11.4→11.3
2754 亞洲藏壽司|觀光餐旅|13 17 -193|97 97 38 92|0.8 115|81 5 0 -11 -11|PB位99 PE位9 殖0.3|益6.1→8.4
2801 彰銀|金融保險|29 28 9|93 99 6 4|1.3 70|13 28 -0 -2 -9|PB位71 PE位20 殖3.4|益na→na
2809 京城銀|金融保險|-31 -9 42|89 95 15 1|0.7 52|13 0 1 -21 5|PB位64 PE位98 殖6.0|益na→na
2812 台中銀|金融保險|7 3 -7|88 95 6 -0|1.8 56|10 8 -0 -5 0|PB位84 PE位77 殖5.7|益na→na
2834 臺企銀|金融保險|22 30 12|98 99 10 11|0.7 189|18 23 -0 37 -50|PB位99 PE位27 殖3.5|益na→na
2838 聯邦銀|金融保險|3 -0 3|97 97 9 24|0.9 9|6 38 0 -1 -15|PB位99 PE位99 殖6.4|益na→na
2845 遠東銀|金融保險|99 47 36|98 100 10 12|1.2 37|11 14 -0 -0 -23|PB位99 PE位69 殖5.0|益na→na
2850 新產|金融保險|0 2 -0|86 86 15 -3|0.7 6|11 20 1 -74 -33|PB位88 PE位83 殖6.4|益12.6→13.2
2851 中再保|金融保險|12 -1 -6|63 84 4 -11|1.2 54|2 6 0 42 -57|PB位8 PE位97 殖9.9|益-1.0→-0.8
2855 統一證|金融保險|-18 -31 -11|77 92 10 5|1.0 6|8 13 0 8 -10|PB位38 PE位82 殖11.6|益na→na
2880 華南金|金融保險|-3 1 -4|97 97 8 6|1.7 214|18 2 -0 -26 -15|PB位99 PE位61 殖4.9|益na→na
2881 富邦金|金融保險|-93 -136 -84|82 98 17 11|1.6 519|20 15 2 -20 -8|PB位99 PE位91 殖5.8|益na→na
2882 國泰金|金融保險|-76 -74 -28|70 92 14 -2|1.2 1037|20 12 0 -11 -48|PB位99 PE位79 殖8.1|益na→na
2883 凱基金|金融保險|-101 -103 -53|71 94 12 2|1.4 219|23 19 2 -13 -33|PB位99 PE位55 殖7.6|益na→na
2884 玉山金|金融保險|-1 1 7|76 86 7 -10|1.6 405|33 -12 -0 0 -17|PB位69 PE位98 殖5.4|益na→na
2885 元大金|金融保險|-5 -26 -3|92 99 15 16|1.3 291|26 25 2 -17 -28|PB位68 PE位77 殖7.9|益na→na
2886 兆豐金|金融保險|-1 -9 -3|77 90 10 -3|1.3 354|22 16 -5 -28 -16|PB位87 PE位99 殖5.1|益na→na
2887 台新新光金|金融保險|-9 16 6|84 97 20 12|1.7 201|24 31 -0 -0 -43|PB位83 PE位100 殖6.8|益na→na
2889 國票金|金融保險|-56 -53 -14|81 93 14 -4|1.1 66|10 3 1 -14 -43|PB位79 PE位100 殖9.1|益na→na
2890 永豐金|金融保險|2 -3 -6|94 94 8 9|1.1 263|29 8 2 -32 -38|PB位96 PE位74 殖5.2|益na→na
2891 中信金|金融保險|-90 -95 -73|78 91 11 1|1.2 499|39 5 1 -18 -34|PB位97 PE位98 殖5.5|益na→na
2892 第一金|金融保險|-1 3 -6|94 97 7 3|2.1 394|25 2 3 41 -29|PB位93 PE位89 殖4.6|益na→na
2903 遠百|貿易百貨|-1 -3 -8|98 98 18 15|1.3 27|10 11 23 49 -5|PB位46 PE位53 殖4.2|益9.4→10.4
2906 高林|貿易百貨|-14 -13 -24|67 93 30 -1|0.6 12|3 8 0 -10 -6|PB位90 PE位10 殖2.1|益5.3→4.8
2912 統一超|貿易百貨|11 10 -0|94 94 2 -2|1.9 254|30 -9 -5 -12 -29|PB位49 PE位45 殖3.3|益4.4→4.4
2913 農林|貿易百貨|-3 -7 -14|90 90 3 13|0.4 12|9 -13 0 -3 -1|PB位94 PE位na 殖0.0|益-44.0→-37.5
2915 潤泰全|貿易百貨|-0 5 -3|61 95 23 14|0.6 172|9 -7 8 2 4|PB位90 PE位36 殖7.4|益1.3→-0.4
2929 淘帝-KY|貿易百貨|-18 -17 -4|90 90 89 66|2.1 85|21 1 0 -6 -6|PB位79 PE位99 殖0.0|益-4.4→-5.3
3003 健和興|電子零組|-32 -16 -18|81 83 6 -12|0.9 18|5 9 -4 -2 -2|PB位44 PE位7 殖2.8|益22.3→20.9
3004 豐達科|鋼鐵工業|45 64 10|97 97 31 26|0.7 16|5 4 -0 1 10|PB位97 PE位87 殖0.0|益2.9→5.0
3005 神基|電腦及週|1 9 -1|82 94 19 -1|1.1 29|22 6 -5 -23 -6|PB位12 PE位82 殖7.8|益7.8→8.4
3006 晶豪科|半導體業|-56 -54 -24|49 94 21 -1|1.0 190|16 20 -0 -19 -20|PB位45 PE位26 殖10.1|益15.8→11.4
3008 大立光|光電業|-11 11 10|95 95 22 11|1.1 1007|38 2 -1 -11 -6|PB位33 PE位19 殖3.2|益40.6→40.9
3010 華立|電子通路|-18 -11 -16|82 91 8 -1|1.5 12|10 1 10 -8 3|PB位38 PE位15 殖7.9|益4.0→3.9
3011 今皓|電子零組|-46 -39 -39|73 78 35 -18|0.6 9|0 -0 1 na na|PB位86 PE位39 殖0.0|益-2.8→-2.5
3013 晟銘電|電腦及週|22 34 10|89 89 39 42|1.5 81|6 2 0 -7 26|PB位99 PE位74 殖0.0|益-1.1→1.4
3014 聯陽|半導體業|-28 -33 -8|78 100 37 24|1.2 52|14 18 0 -8 -21|PB位42 PE位27 殖11.1|益28.1→26.7
3016 嘉晶|半導體業|6 0 -17|62 83 12 -3|0.7 36|4 15 0 -6 -21|PB位21 PE位7 殖1.5|益15.1→14.7
3017 奇鋐|電腦及週|13 21 1|85 85 8 -3|0.8 198|42 2 -14 2 -8|PB位47 PE位5 殖4.0|益10.9→11.2
3019 亞光|光電業|-27 -17 -9|79 97 15 8|0.9 24|11 14 -0 -6 -15|PB位17 PE位22 殖5.6|益5.4→6.7
3022 威強電|電腦及週|3 43 13|93 93 41 36|0.5 82|29 -1 -0 -11 13|PB位96 PE位54 殖4.0|益14.5→17.5
3023 信邦|電子零組|22 26 6|99 99 14 6|1.2 81|63 23 -2 3 -9|PB位49 PE位54 殖2.4|益11.4→11.2
3025 星通|通信網路|-67 -46 -36|77 77 -2 5|0.1 6|2 2 -1 -8 -4|PB位30 PE位2 殖2.0|益7.7→2.8
3026 禾伸堂|電子零組|-6 -6 3|85 100 9 3|1.5 8|11 21 0 -8 -2|PB位18 PE位48 殖9.6|益12.5→10.0
3027 盛達|通信網路|48 32 17|97 97 77 113|1.2 401|7 1 -0 -34 34|PB位100 PE位82 殖0.0|益1.3→0.4
3028 增你強|電子通路|-24 -15 -11|83 98 17 0|1.1 7|5 23 0 -0 -17|PB位52 PE位31 殖11.4|益3.0→3.0
3029 零壹|資訊服務|2 -2 -4|93 100 12 8|1.5 7|3 14 0 -21 -10|PB位27 PE位32 殖8.5|益5.8→5.6
3030 德律|其他電子|-22 7 -14|93 96 7 9|0.8 14|17 -20 1 1 -0|PB位21 PE位4 殖5.2|益33.8→32.1
3033 威健|電子通路|-13 -3 -1|90 100 7 4|1.3 14|6 19 0 -7 -4|PB位45 PE位19 殖10.9|益4.4→4.2
3034 聯詠|半導體業|-35 -39 -25|84 100 47 41|1.0 2459|47 8 6 -27 -23|PB位33 PE位26 殖14.6|益34.2→31.4
3035 智原|半導體業|16 23 -47|56 90 27 16|0.6 1469|28 3 -2 -7 -10|PB位73 PE位13 殖1.9|益23.7→23.1
3036 文曄|電子通路|25 25 -4|73 94 6 -6|0.9 37|11 -13 8 -17 -42|PB位74 PE位21 殖7.7|益2.4→2.2
3037 欣興|電子零組|4 20 -15|57 85 17 -4|0.9 2528|39 5 -2 -11 -16|PB位34 PE位6 殖2.4|益26.4→27.5
3038 全台|光電業|1 8 -4|90 90 4 -5|0.4 8|8 -18 0 -17 1|PB位30 PE位5 殖5.8|益7.4→7.5
3041 揚智|半導體業|-23 -24 -21|53 84 19 -9|0.8 11|12 2 0 -3 3|PB位24 PE位67 殖0.0|益6.1→6.2
3042 晶技|電子零組|-15 -14 -1|94 98 17 2|1.5 66|15 11 6 -13 -5|PB位35 PE位20 殖8.5|益21.8→21.5
3044 健鼎|電子零組|-15 -12 -17|80 98 18 0|1.2 106|39 -10 4 27 -33|PB位14 PE位18 殖6.9|益9.3→9.9
3045 台灣大|通信網路|13 12 2|90 93 1 -7|1.5 209|16 -7 1 20 -7|PB位35 PE位44 殖4.5|益10.5→10.3
3046 建碁|電腦及週|2 0 -33|76 76 -2 63|0.1 37|2 -1 -0 -9 51|PB位86 PE位46 殖0.0|益1.8→2.2
3047 訊舟|通信網路|1 4 -9|83 83 5 24|0.3 35|3 4 0 -4 -23|PB位81 PE位6 殖0.0|益1.5→2.2
3048 益登|電子通路|-9 -1 -12|81 91 0 -6|1.1 7|3 8 0 -13 5|PB位31 PE位17 殖12.3|益1.5→1.5
3050 鈺德|光電業|14 10 -0|93 99 13 8|0.6 7|9 3 0 -2 11|PB位74 PE位100 殖3.4|益7.0→9.7
3051 力特|光電業|-12 -15 -9|63 81 8 12|0.6 6|3 -3 0 6 -7|PB位30 PE位43 殖0.0|益12.6→13.1
3056 富華新|建材營造|1022 8442 -94|86 94 7 11|0.6 17|5 19 1 4 -13|PB位8 PE位28 殖4.7|益14.7→28.5
3059 華晶科|光電業|-10 52 -7|66 89 6 -1|0.5 29|13 -6 0 -3 -5|PB位39 PE位4 殖2.0|益3.0→2.7
3062 建漢|通信網路|76 84 36|77 77 8 -21|0.4 35|12 11 0 -6 -7|PB位76 PE位na 殖0.2|益-9.4→-5.2
3078 僑威|電子零組|-13 -21 14|81 90 21 -1|0.9 6|1 16 0 -11 -22|PB位19 PE位44 殖11.1|益7.9→6.8
3081 聯亞|通信網路|72 93 53|62 71 17 -7|0.7 147|37 -4 -1 7 13|PB位12 PE位65 殖2.7|益9.8→11.7
3083 網龍|文化創意|-1 -2 -11|83 94 23 11|0.5 48|1 -1 0 -28 -1|PB位60 PE位na 殖0.0|益-10.2→-14.7
3088 艾訊|電腦及週|20 26 -9|90 98 19 9|0.8 13|6 7 -7 -13 -16|PB位28 PE位22 殖5.0|益8.3→9.7
3090 日電貿|電子零組|-16 -6 -5|100 100 14 17|0.8 11|9 9 1 -15 -5|PB位20 PE位7 殖7.3|益11.1→8.5
3092 鴻碩|電子零組|-43 -38 -55|51 76 8 -10|0.6 6|2 18 0 -2 1|PB位10 PE位43 殖0.0|益4.6→5.5
3093 港建*|其他電子|36 -0 -30|70 83 23 -15|1.9 7|68 4 0 -9 125|PB位86 PE位11 殖5.6|益20.8→22.1
3105 穩懋|半導體業|-54 -51 -22|58 99 64 21|1.5 1022|43 8 1 -30 -4|PB位20 PE位51 殖4.2|益15.3→9.9
3128 昇銳|光電業|-42 2 -19|80 80 57 129|0.2 89|4 -0 -1 13 14|PB位96 PE位53 殖1.6|益7.9→7.8
3131 弘塑|半導體業|-28 -9 -13|76 86 35 8|0.7 9|4 4 1 na -1|PB位16 PE位11 殖6.9|益19.1→19.6
3138 耀登|通信網路|28 30 8|70 86 16 18|0.4 33|3 9 -1 -6 6|PB位21 PE位35 殖2.1|益6.7→8.2
3141 晶宏|半導體業|-24 -49 -51|47 69 21 -24|1.0 143|6 -0 0 6 -1|PB位48 PE位14 殖4.2|益31.8→28.0
3149 正達|光電業|-30 -8 -1|65 83 -13 12|0.4 5|2 -1 0 0 na|PB位38 PE位na 殖0.0|益-17.3→-17.3
