# 2025-04-01 全池(1165 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
2317 鴻海|其他電子|56 34 13|67 69 -18 -20|1.5 7019|33 -18 0 -7 7|PB位66 PE位66 殖3.8|益2.9→2.9
2324 仁寶|電腦及週|17 -1 1|85 87 -10 3|1.8 806|42 -18 1 -4 89|PB位37 PE位33 殖4.2|益1.7→1.6
2327 國巨*|電子零組|15 8 -5|61 77 -8 -25|0.8 1024|49 -16 -1 0 16|PB位8 PE位61 殖4.1|益19.7→19.2
2328 廣宇|電子零組|60 21 25|83 83 5 30|0.7 2235|20 1 0 14 -9|PB位95 PE位98 殖2.4|益6.3→5.9
2329 華泰|半導體業|1 -7 -0|46 72 -9 -18|0.6 69|7 6 0 -7 -14|PB位44 PE位67 殖3.0|益8.0→7.1
2330 台積電|半導體業|43 46 6|84 84 -13 -6|1.0 41212|72 -14 1 -4 14|PB位58 PE位59 殖1.8|益44.2→45.7
2331 精英|電腦及週|-7 6 11|47 70 -20 -29|1.3 28|8 -6 0 -21 -13|PB位0 PE位na 殖1.2|益-1.8→-2.9
2332 友訊|通信網路|0 -2 5|68 68 -32 -3|0.4 97|16 -3 0 -4 21|PB位55 PE位87 殖0.5|益-0.2→-1.4
2337 旺宏|半導體業|9 4 6|73 80 5 -19|3.5 335|12 -6 0 49 52|PB位12 PE位na 殖2.3|益-10.9→-15.2
2338 光罩|半導體業|2 -6 -7|48 65 -22 -32|1.1 41|6 4 0 -6 -15|PB位1 PE位na 殖3.8|益4.0→2.9
2340 台亞|半導體業|3 2 -4|53 61 -23 -37|0.9 37|9 -14 0 -8 -5|PB位0 PE位na 殖2.1|益-10.4→-14.3
2342 茂矽|半導體業|82 76 32|77 77 -15 -17|1.7 9|7 -10 0 -3 6|PB位0 PE位97 殖1.1|益0.9→2.4
2344 華邦電|半導體業|2 -2 -8|65 84 16 -13|0.7 1970|11 1 0 -9 -21|PB位13 PE位95 殖0.0|益2.0→0.6
2345 智邦|通信網路|142 117 64|76 76 -22 11|0.7 2985|58 -8 1 10 -42|PB位37 PE位44 殖1.9|益11.8→12.3
2347 聯強|電子通路|4 -9 -12|81 94 0 1|1.4 294|31 16 -5 -29 4|PB位38 PE位54 殖5.5|益2.2→2.4
2348 海悅|其他|-68 -68 -108|42 61 -36 -14|0.3 92|1 -2 3 -13 5|PB位70 PE位60 殖5.9|益41.1→26.2
2349 錸德|光電業|-18 -19 -11|57 68 -19 -30|1.0 27|12 8 0 na na|PB位75 PE位18 殖0.0|益-3.6→-2.4
2351 順德|半導體業|16 5 4|50 56 -13 -46|4.6 71|11 -10 2 5 6|PB位0 PE位23 殖3.0|益8.6→7.7
2352 佳世達|電腦及週|11 9 8|67 75 -16 -22|1.2 134|11 -14 1 -10 16|PB位27 PE位59 殖3.8|益2.3→2.2
2353 宏碁|電腦及週|6 3 -7|65 87 -5 -12|1.0 352|21 3 -11 -9 -6|PB位42 PE位37 殖4.6|益1.9→1.8
2354 鴻準|其他電子|323 284 205|66 66 -18 -4|0.6 513|20 -7 -1 -16 19|PB位71 PE位86 殖2.2|益2.3→2.1
2355 敬鵬|電子零組|3 -9 -4|66 79 -15 -21|1.0 53|13 -18 0 -13 4|PB位20 PE位0 殖5.6|益7.4→6.3
2356 英業達|電腦及週|41 37 9|71 80 -14 -1|1.0 581|12 -11 6 -6 7|PB位39 PE位39 殖3.9|益1.8→1.8
2357 華碩|電腦及週|29 23 1|86 86 0 7|1.2 2843|47 -21 6 45 124|PB位91 PE位54 殖5.5|益6.5→5.0
2359 所羅門|其他電子|43 21 23|79 80 -20 -7|0.4 559|4 -2 0 -13 -8|PB位73 PE位100 殖0.7|益-3.2→-1.4
2360 致茂|其他電子|64 51 24|64 64 -28 -21|0.9 597|66 -8 4 6 -0|PB位56 PE位52 殖3.1|益25.2→25.4
2362 藍天|電腦及週|-18 -14 -20|73 73 -9 -16|0.7 62|11 11 0 -18 -6|PB位71 PE位32 殖5.2|益8.0→8.2
2363 矽統|半導體業|1337 1085 564|52 65 -24 -23|1.5 164|7 9 0 -20 -2|PB位62 PE位46 殖0.9|益-101.4→-45.4
2364 倫飛|電腦及週|42 48 22|63 81 4 -18|0.7 15|19 7 0 -9 -9|PB位20 PE位7 殖3.7|益11.0→9.1
2365 昆盈|電腦及週|21 12 -12|56 69 -27 -32|0.3 113|1 0 0 -20 -6|PB位74 PE位57 殖1.6|益8.6→7.6
2367 燿華|電子零組|20 20 -2|63 77 -17 -23|0.9 122|9 6 0 -11 -5|PB位62 PE位0 殖0.0|益9.1→8.4
2368 金像電|電子零組|47 30 4|79 81 -15 -2|0.7 1326|16 1 3 -1 59|PB位40 PE位44 殖3.0|益22.1→20.7
2369 菱生|半導體業|-8 -14 -5|59 69 -16 -21|2.0 12|13 0 0 -9 7|PB位33 PE位na 殖2.0|益-6.4→-7.1
2371 大同|電機機械|-20 -15 -10|59 78 -11 -18|0.8 800|8 8 0 -19 -11|PB位0 PE位0 殖7.2|益19.8→24.8
2374 佳能|光電業|69 40 11|73 73 -27 9|0.2 352|6 1 0 -39 -10|PB位81 PE位23 殖1.8|益6.6→5.8
2375 凱美|電子零組|21 11 1|70 70 -16 -14|0.5 25|6 -4 0 -8 15|PB位1 PE位35 殖2.6|益8.2→7.8
2376 技嘉|電腦及週|60 40 -61|74 81 -13 -6|0.9 824|14 -6 9 -9 7|PB位39 PE位38 殖2.6|益5.2→4.8
2377 微星|電腦及週|12 6 -1|83 83 -9 -3|0.5 686|25 -3 -4 -35 -19|PB位39 PE位74 殖3.0|益4.5→3.6
2379 瑞昱|半導體業|45 35 15|92 92 -2 7|0.9 1044|51 -2 9 -4 -8|PB位44 PE位47 殖4.9|益12.2→11.9
2382 廣達|電腦及週|79 74 29|69 71 -20 -15|1.0 4249|19 -22 4 -8 31|PB位42 PE位39 殖5.6|益4.7→4.4
2383 台光電|電子零組|87 64 6|86 86 -8 17|0.7 2288|35 -6 0 2 4|PB位62 PE位53 殖3.1|益18.8→18.9
2385 群光|電子零組|10 4 1|69 97 16 2|1.3 834|25 -8 3 -13 13|PB位66 PE位68 殖5.8|益10.4→10.2
2387 精元|電腦及週|25 8 2|85 85 2 10|0.9 69|22 -3 -0 -41 -18|PB位59 PE位58 殖6.4|益9.0→8.4
2388 威盛|半導體業|7 6 -19|57 59 -21 -42|0.8 276|9 5 -0 -17 -10|PB位7 PE位38 殖0.1|益2.7→2.7
2392 正崴|電子零組|31 19 5|63 65 -23 -12|0.9 106|9 4 0 -25 -7|PB位71 PE位47 殖4.4|益3.7→3.6
2393 億光|光電業|6 5 -11|95 95 4 9|0.5 138|23 2 -0 -33 -3|PB位88 PE位33 殖6.3|益12.9→11.7
2395 研華|電腦及週|37 21 20|92 92 9 13|0.5 615|39 2 5 -24 -52|PB位38 PE位95 殖2.2|益15.0→15.1
2397 友通|電腦及週|43 43 51|78 83 -9 -8|0.7 11|26 -12 0 -8 1|PB位28 PE位68 殖4.7|益5.7→6.9
2399 映泰|電腦及週|-14 -15 1|49 49 -20 -30|0.6 26|9 13 0 -17 -15|PB位48 PE位82 殖0.0|益-4.2→-5.3
2401 凌陽|半導體業|55 24 5|66 79 -18 -20|0.7 35|14 -1 1 -8 -7|PB位33 PE位83 殖0.0|益4.4→1.7
2402 毅嘉|電子零組|18 16 4|80 80 -5 -13|0.8 74|7 -0 3 -11 -10|PB位45 PE位0 殖5.4|益7.8→8.1
2404 漢唐|其他電子|21 -2 21|89 89 1 39|1.0 909|24 -2 -0 -55 -31|PB位70 PE位80 殖6.1|益13.6→14.5
2405 輔信|電腦及週|15 -7 -4|69 84 -10 -5|0.5 62|5 7 0 -13 -16|PB位72 PE位99 殖0.9|益-2.7→-3.0
2406 國碩|光電業|-38 -43 -126|46 62 -15 -35|0.9 15|6 -14 0 -1 40|PB位1 PE位na 殖0.0|益-6.8→-10.5
2408 南亞科|半導體業|-26 -28 -34|51 80 23 -19|0.8 2587|8 -3 3 11 88|PB位9 PE位na 殖0.0|益-28.1→-30.9
2409 友達|光電業|24 18 4|74 79 -9 -19|1.2 515|21 -18 1 11 18|PB位16 PE位na 殖2.2|益-2.4→-3.0
2412 中華電|通信網路|-2 4 2|100 100 5 2|1.2 840|16 21 5 236 -9|PB位93 PE位94 殖3.9|益21.4→20.4
2413 環科|電子零組|43 5 28|77 77 -13 9|1.1 6|3 14 0 -3 -18|PB位25 PE位na 殖0.9|益-8.2→-5.9
2414 精技|電子通路|56 28 18|96 97 3 8|1.3 5|5 2 0 -13 -2|PB位84 PE位54 殖6.5|益2.4→2.4
2417 圓剛|電腦及週|-4 1 2|71 75 -18 -9|0.2 61|1 0 0 -17 -7|PB位73 PE位na 殖0.5|益-1.9→-2.7
2419 仲琦|通信網路|-6 5 -8|64 67 -20 -20|0.9 14|2 -6 0 -6 6|PB位20 PE位na 殖1.2|益2.3→2.8
2420 新巨|電子零組|24 10 3|75 75 -8 -20|1.8 17|7 -12 -1 -9 -6|PB位71 PE位64 殖5.9|益29.5→27.8
2421 建準|電子零組|78 41 21|67 82 -9 -6|1.3 410|20 8 1 -16 -30|PB位38 PE位27 殖4.1|益11.3→11.5
2423 固緯|其他電子|22 1 5|98 98 13 18|1.0 6|6 9 0 -53 -14|PB位89 PE位99 殖4.3|益13.0→14.8
2425 承啟|電腦及週|71 38 41|68 68 -0 -21|0.6 28|8 1 0 -9 -6|PB位17 PE位81 殖1.3|益0.3→-0.2
2426 鼎元|光電業|28 3 -3|67 67 -23 -22|0.5 15|9 6 0 -24 -4|PB位27 PE位81 殖0.6|益1.1→-2.3
2427 三商電|資訊服務|46 25 -9|78 91 -1 4|1.4 29|3 1 0 1 -25|PB位53 PE位48 殖2.6|益5.6→6.0
2428 興勤|電子零組|23 22 11|82 83 -4 -17|0.7 20|15 -10 0 -1 27|PB位8 PE位33 殖4.1|益24.3→23.6
2429 銘旺科|光電業|190 196 165|85 85 72 97|1.3 683|10 1 0 30 -31|PB位90 PE位na 殖0.0|益-38.0→-32.1
2431 聯昌|電子零組|32 -15 11|73 73 3 10|4.2 14|6 -4 0 -14 4|PB位94 PE位na 殖0.0|益-29.2→-28.8
2436 偉詮電|半導體業|49 23 15|75 75 -8 -25|0.9 33|6 10 0 -5 -23|PB位17 PE位31 殖3.0|益5.4→5.3
2438 翔耀|光電業|106 283 39|36 62 -9 -38|2.8 5|1 -3 0 na na|PB位79 PE位na 殖0.0|益-34.8→-21.9
2439 美律|通信網路|32 13 -8|89 95 16 -5|0.9 412|21 10 5 -24 38|PB位64 PE位62 殖5.8|益4.3→4.2
2441 超豐|半導體業|16 12 1|89 89 -2 1|0.6 32|12 -7 0 -11 -9|PB位28 PE位39 殖5.1|益18.8→17.9
2442 新美齊|建材營造|-78 -46 -137|65 88 -4 -9|1.2 17|2 -9 0 16 -2|PB位60 PE位56 殖1.0|益21.9→20.8
2444 兆勁|通信網路|0 -6 14|72 72 -16 -4|0.4 11|3 -6 0 na na|PB位62 PE位na 殖0.0|益-5.2→-5.2
2449 京元電子|半導體業|21 20 6|65 65 -22 -19|1.0 1199|24 -7 -6 -22 -15|PB位48 PE位47 殖4.4|益23.9→23.0
2451 創見|半導體業|15 -1 5|78 99 19 3|0.9 184|8 3 -1 6 3|PB位87 PE位75 殖5.9|益20.9→18.9
2453 凌群|資訊服務|7 7 -1|92 92 15 28|1.9 341|11 2 0 10 -37|PB位87 PE位82 殖3.7|益4.3→4.5
2454 聯發科|半導體業|20 10 -9|94 94 6 17|0.8 9898|59 -7 4 -8 -23|PB位95 PE位82 殖3.7|益20.6→19.3
2455 全新|通信網路|1 -7 -20|61 68 -31 -30|0.7 534|24 -3 -10 24 28|PB位39 PE位36 殖2.7|益23.8→22.3
2457 飛宏|電子零組|-3 6 17|49 62 -28 -34|1.3 36|10 5 0 -8 16|PB位0 PE位1 殖0.0|益-0.9→-1.4
2458 義隆|半導體業|6 4 0|84 88 -6 -1|1.3 215|24 -6 0 -7 9|PB位42 PE位38 殖5.6|益24.3→24.1
2461 光群雷|其他電子|-6 -7 -2|74 79 -7 -17|1.1 8|5 -5 0 -15 1|PB位0 PE位22 殖5.4|益0.9→0.6
2464 盟立|其他電子|41 15 18|69 73 -27 -22|0.5 184|3 -3 0 -14 1|PB位72 PE位92 殖0.5|益0.1→0.6
2465 麗臺|電腦及週|-6 11 14|40 59 -20 -37|0.9 16|1 4 0 -28 na|PB位55 PE位na 殖0.0|益-10.5→-10.0
2466 冠西電|光電業|75 34 14|91 91 27 137|0.4 50|11 1 0 32 2|PB位95 PE位na 殖0.0|益-9.8→-12.9
2467 志聖|電子零組|31 27 -16|59 59 -31 -34|0.9 61|11 21 -0 -26 -9|PB位63 PE位63 殖3.4|益11.9→13.2
2468 華經|資訊服務|40 65 53|85 85 95 131|2.9 887|13 1 0 -37 -77|PB位99 PE位99 殖1.7|益2.7→3.2
2471 資通|資訊服務|26 13 1|94 94 7 19|1.2 86|8 3 0 -9 -4|PB位79 PE位78 殖5.1|益7.5→12.6
2472 立隆電|電子零組|57 25 4|81 81 1 10|0.3 156|12 -2 0 13 -6|PB位73 PE位63 殖3.7|益17.9→17.9
2474 可成|其他電子|38 42 30|91 91 12 -7|1.0 464|36 17 -9 -11 30|PB位78 PE位15 殖4.7|益18.1→18.2
2476 鉅祥|電子零組|41 20 2|71 85 -6 -12|0.9 110|8 -8 0 -6 7|PB位56 PE位55 殖4.3|益18.0→17.7
2477 美隆電|其他電子|104 47 24|65 65 -14 -16|0.7 9|24 3 0 -14 -28|PB位60 PE位5 殖5.2|益4.5→4.9
2478 大毅|電子零組|72 30 15|80 88 -0 -12|1.3 7|6 8 0 1 3|PB位20 PE位45 殖3.2|益8.2→7.7
2480 敦陽科|資訊服務|15 21 14|86 86 3 13|0.5 42|9 -12 0 -60 15|PB位69 PE位92 殖5.3|益12.4→12.2
2481 強茂|半導體業|16 8 8|81 88 3 -11|2.2 56|12 -1 6 8 7|PB位8 PE位48 殖2.7|益6.6→6.5
2484 希華|電子零組|27 8 10|69 78 -9 -21|1.3 6|5 0 0 -2 1|PB位0 PE位72 殖3.0|益4.7→4.0
2485 兆赫|通信網路|-40 -56 2|60 72 -17 -25|1.6 17|4 -10 0 -13 -29|PB位1 PE位na 殖0.0|益-26.3→-33.3
2486 一詮|光電業|35 9 -1|63 68 -14 -10|0.8 760|5 -1 0 -9 -1|PB位71 PE位98 殖0.6|益-0.7→-0.4
2488 漢平|其他電子|41 45 10|84 84 -11 5|0.6 13|11 -21 0 -4 26|PB位78 PE位47 殖6.3|益14.5→13.1
2489 瑞軒|光電業|29 24 -16|60 67 -18 -24|1.1 38|11 -8 0 -8 6|PB位60 PE位6 殖2.9|益0.9→0.8
2492 華新科|電子零組|18 7 1|69 81 -5 -19|0.9 69|10 11 0 -4 -11|PB位6 PE位28 殖2.7|益7.0→6.3
2493 揚博|電子零組|19 9 -2|75 75 -6 4|1.0 17|4 6 0 -3 -14|PB位62 PE位74 殖5.5|益23.3→22.4
2495 普安|電腦及週|-13 -1 3|70 70 -16 -22|0.6 28|12 -1 0 -12 4|PB位68 PE位0 殖4.7|益11.7→12.1
2497 怡利電|汽車工業|12 21 -2|58 58 -14 -39|0.8 17|8 -7 0 -3 -7|PB位0 PE位0 殖3.9|益7.7→9.7
2498 宏達電|通信網路|20 -15 8|69 69 -9 -8|0.3 220|11 3 0 -15 -9|PB位20 PE位na 殖0.0|益-164.8→-150.6
2501 國建|建材營造|-37 24 -31|53 82 -9 -13|0.9 23|7 -18 0 4 18|PB位66 PE位66 殖4.6|益9.1→10.2
2504 國產|建材營造|15 4 2|74 74 -12 -20|0.8 141|10 -20 -6 10 34|PB位68 PE位52 殖6.7|益20.8→20.9
2506 太設|建材營造|17 -41 -50|80 88 -2 -2|0.9 5|6 -4 0 -18 -4|PB位68 PE位72 殖3.7|益-3.3→-8.4
2511 太子|建材營造|18 11 2|75 92 -3 -5|1.3 10|5 -5 0 -9 -20|PB位2 PE位95 殖3.0|益1.9→3.2
2514 龍邦|其他|-5 -19 -53|72 85 -3 -4|0.9 5|3 -11 0 -2 4|PB位55 PE位33 殖0.0|益7.5→6.4
2515 中工|建材營造|29 37 11|60 87 -1 -11|0.8 84|12 -7 0 3 7|PB位52 PE位40 殖4.7|益4.2→4.0
2516 新建|建材營造|53 38 23|81 81 63 74|0.7 55|5 -4 0 na na|PB位95 PE位56 殖0.0|益1.4→1.7
2520 冠德|建材營造|-11 15 -44|83 86 5 12|1.0 177|22 -4 2 -22 26|PB位77 PE位24 殖7.6|益26.9→26.2
2524 京城|建材營造|266 849 495|45 63 -12 -37|0.9 32|1 0 0 -2 -20|PB位73 PE位6 殖0.0|益38.6→37.3
2527 宏璟|建材營造|-84 -68 -1564|55 82 -12 -0|1.1 10|43 -3 0 -13 -1|PB位42 PE位22 殖6.0|益21.4→18.7
2528 皇普|建材營造|1269290 9457897 7083846|77 86 3 6|0.8 40|3 7 0 -8 29|PB位57 PE位10 殖6.2|益-1266.6→31.2
2530 華建|建材營造|-87 291 -41303|68 92 1 -1|1.0 21|4 -15 0 2 15|PB位69 PE位16 殖5.5|益34.7→33.5
2534 宏盛|建材營造|666 521 415|87 94 1 3|0.9 14|8 13 0 2 -15|PB位67 PE位71 殖3.8|益16.2→24.3
2535 達欣工|建材營造|9 -10 -10|94 94 9 16|3.2 32|7 -1 0 138 29|PB位71 PE位67 殖6.8|益5.6→7.0
2536 宏普|建材營造|471 144 60|82 100 8 7|1.7 6|9 12 0 -18 -22|PB位84 PE位64 殖1.5|益10.7→12.6
2537 聯上發|建材營造|12235 36889 13627|47 76 4 -23|1.5 19|4 -10 0 9 35|PB位72 PE位40 殖0.0|益17.2→21.0
2539 櫻花建|建材營造|191 31 na|77 93 22 25|1.9 101|3 18 0 -9 -41|PB位74 PE位37 殖3.9|益27.0→39.6
2540 愛山林|建材營造|44 20 -15|38 76 -9 -22|2.0 72|2 -1 1 38 10|PB位67 PE位50 殖6.6|益29.8→23.2
2542 興富發|建材營造|-72 -3 -25|66 88 1 -6|2.0 192|11 -13 4 12 27|PB位73 PE位19 殖3.5|益24.5→25.5
2543 皇昌|建材營造|8 -3 -13|72 72 12 -0|0.6 905|4 -7 0 -13 39|PB位93 PE位55 殖6.2|益18.5→20.8
2545 皇翔|建材營造|704 211 -257|82 82 1 13|0.7 47|7 -21 0 57 -10|PB位73 PE位36 殖3.6|益31.9→32.8
2546 根基|建材營造|46 29 21|65 93 12 6|0.8 9|2 -1 0 -7 -7|PB位40 PE位75 殖4.8|益5.2→6.9
2547 日勝生|建材營造|32 -8 -7|94 94 23 34|1.8 130|20 22 0 14 -39|PB位99 PE位na 殖4.6|益12.8→16.2
2548 華固|建材營造|164 29 -526|65 82 -9 -17|1.1 116|17 -22 -1 1 31|PB位68 PE位97 殖5.4|益28.1→26.3
2597 潤弘|建材營造|49 16 -1|75 95 18 27|0.8 63|3 -6 13 11 47|PB位93 PE位92 殖5.3|益11.6→13.5
2603 長榮|航運業|13 41 -26|95 95 -2 10|0.8 3542|21 -9 9 2 4|PB位61 PE位55 殖14.3|益36.1→34.5
2605 新興|航運業|-28 -22 -23|75 83 -1 -9|0.5 129|35 7 0 -12 -27|PB位29 PE位0 殖5.2|益23.9→22.2
2606 裕民|航運業|-9 -14 -21|86 86 14 21|0.4 991|9 -0 2 -45 3|PB位76 PE位64 殖5.0|益28.0→27.4
2607 榮運|航運業|1 14 -12|96 100 4 6|1.7 50|10 16 -0 -1 -5|PB位34 PE位64 殖3.9|益12.6→12.5
2609 陽明|航運業|3 30 -28|92 93 -1 9|0.7 1846|21 17 3 -14 -2|PB位69 PE位55 殖9.7|益32.1→30.3
2610 華航|航運業|-1 11 2|85 85 -13 6|0.8 385|22 10 2 -3 3|PB位15 PE位12 殖3.0|益8.8→8.9
2611 志信|航運業|10 5 -1|62 86 -1 -11|0.8 10|2 -6 0 -0 19|PB位70 PE位70 殖7.6|益-4.5→-2.4
2612 中航|航運業|19 21 3|91 94 13 5|0.5 32|3 14 0 -37 -19|PB位35 PE位9 殖4.6|益13.8→14.9
2613 中櫃|航運業|9 3 -0|66 80 -9 -20|0.5 10|3 3 0 -3 -4|PB位63 PE位73 殖3.3|益10.1→10.4
2614 東森|其他|-11 -5 -2|80 92 7 -7|0.8 8|3 2 0 5 -16|PB位0 PE位2 殖6.4|益6.1→5.7
2615 萬海|航運業|20 50 -17|76 76 -1 -20|0.6 877|42 2 9 -11 12|PB位47 PE位55 殖4.3|益31.2→31.2
2617 台航|航運業|-3 -1 -10|77 93 4 -4|0.6 24|5 5 0 -18 -3|PB位10 PE位75 殖5.2|益37.1→37.7
2618 長榮航|航運業|1 7 -1|87 87 -9 12|0.9 1667|25 -25 24 -11 155|PB位48 PE位1 殖5.8|益17.6→17.5
2630 亞航|航運業|-18 -2 -10|89 98 23 13|1.9 239|1 0 0 na -2|PB位73 PE位27 殖1.6|益4.1→3.8
2633 台灣高鐵|航運業|-8 2 -3|88 91 -3 -9|0.9 75|10 -15 2 -4 5|PB位1 PE位33 殖3.9|益40.7→40.4
2634 漢翔|航運業|-8 -7 -3|92 99 23 10|3.6 1294|3 2 1 32 -9|PB位65 PE位55 殖2.6|益6.5→5.6
2636 台驊控股|航運業|22 36 -36|69 87 -4 -12|0.9 29|11 -10 0 -3 -12|PB位12 PE位58 殖7.8|益4.7→4.4
2637 慧洋-KY|航運業|-27 -23 -35|81 81 5 -1|0.6 1272|10 -7 3 -9 41|PB位47 PE位59 殖4.0|益35.1→33.3
2640 大車隊|數位雲端|2 3 -1|94 94 2 14|1.0 7|7 -0 0 44 5|PB位54 PE位11 殖5.3|益21.0→22.4
2641 正德|航運業|27 18 -2|88 88 18 11|0.6 166|5 6 0 -14 -39|PB位54 PE位79 殖2.3|益41.5→40.9
2645 長榮航太|航運業|21 24 15|84 94 6 4|1.0 98|6 7 -3 16 3|PB位10 PE位25 殖4.5|益16.2→14.9
2646 星宇航空|航運業|19 46 na|na na -7 na|1.0 150|2 -9 -0 na na|PB位2 PE位2 殖0.0|益9.0→6.7
2707 晶華|觀光餐旅|-6 4 10|88 98 12 5|1.1 63|7 10 0 5 -22|PB位15 PE位53 殖6.7|益23.2→23.5
2718 全心投控|建材營造|-100 -99 -329|49 68 -21 -31|0.8 9|1 -1 0 -27 1|PB位0 PE位0 殖4.4|益77.2→76.6
2723 美食-KY|觀光餐旅|1 3 7|90 90 -4 11|0.6 25|49 0 1 -3 11|PB位27 PE位51 殖3.2|益5.6→6.0
2727 王品|觀光餐旅|-7 4 2|92 92 -4 2|0.7 61|25 6 -0 -10 -24|PB位26 PE位24 殖6.4|益7.7→7.8
2731 雄獅|觀光餐旅|8 26 -2|79 90 5 -2|0.5 58|5 0 8 -14 -32|PB位0 PE位61 殖5.9|益4.1→3.9
2739 寒舍|觀光餐旅|-9 4 1|58 75 -12 -21|0.7 9|3 3 0 -10 -22|PB位0 PE位33 殖2.2|益15.7→14.0
2743 山富|觀光餐旅|-22 -3 -33|52 82 -8 -14|0.6 13|1 -6 0 -0 -2|PB位1 PE位47 殖5.5|益6.5→6.0
2745 五福|觀光餐旅|11 30 -17|69 81 -8 6|0.6 20|1 -8 0 -2 -9|PB位10 PE位39 殖6.9|益6.1→5.2
2748 雲品|觀光餐旅|-22 -2 -4|75 87 -8 -8|0.7 10|1 10 0 -11 -25|PB位0 PE位4 殖3.6|益12.3→13.7
2753 八方雲集|觀光餐旅|19 13 4|100 100 22 22|1.7 62|6 17 0 46 -19|PB位40 PE位80 殖4.4|益8.9→9.0
2755 揚秦|觀光餐旅|22 20 3|91 91 22 29|0.5 7|1 9 0 -31 67|PB位79 PE位62 殖4.0|益8.8→8.7
2801 彰銀|金融保險|22 12 4|97 99 1 0|0.8 371|14 0 2 37 -24|PB位16 PE位2 殖4.8|益na→na
2809 京城銀|金融保險|-26 -17 -47|73 87 -1 -13|0.7 103|15 3 -3 -4 44|PB位67 PE位47 殖6.1|益na→na
2812 台中銀|金融保險|9 6 -4|96 96 11 13|1.6 141|11 10 0 -2 10|PB位99 PE位94 殖5.4|益na→na
2816 旺旺保|金融保險|-11 1 -3|83 90 -1 -5|1.1 7|2 3 0 -50 -2|PB位48 PE位17 殖4.8|益12.2→13.1
2820 華票|金融保險|-3 6 -6|95 97 0 0|2.3 10|7 -1 0 -17 -10|PB位15 PE位24 殖5.2|益na→na
2832 台產|金融保險|5 1 -5|100 100 21 24|2.0 29|4 16 0 125 27|PB位100 PE位80 殖3.7|益20.6→18.8
2834 臺企銀|金融保險|12 1 -5|78 92 -1 -8|1.2 221|16 -24 1 -5 44|PB位52 PE位35 殖9.2|益na→na
2836 高雄銀|金融保險|15 20 4|90 97 0 -3|1.0 10|6 -1 0 -7 -5|PB位22 PE位71 殖5.2|益na→na
2838 聯邦銀|金融保險|22 8 -3|100 100 14 14|1.7 41|4 22 0 -30 -30|PB位77 PE位65 殖6.0|益na→na
2845 遠東銀|金融保險|-4 -3 -1|80 96 3 -3|1.1 63|9 -15 2 -8 24|PB位75 PE位54 殖5.6|益na→na
2850 新產|金融保險|2 -0 -3|98 98 8 19|0.8 28|10 11 1 112 -13|PB位98 PE位98 殖6.4|益19.2→19.2
2851 中再保|金融保險|-14 -3 -4|95 95 7 6|1.2 44|4 18 0 -53 -31|PB位82 PE位33 殖6.9|益14.2→12.9
2852 第一保|金融保險|3 -2 -6|98 98 23 34|1.8 40|7 12 0 21 -0|PB位100 PE位89 殖6.9|益15.7→13.9
2855 統一證|金融保險|-51 -28 -100|84 86 -5 -8|1.2 91|11 -29 -1 -12 50|PB位64 PE位3 殖8.6|益na→na
2880 華南金|金融保險|12 10 -1|98 98 7 7|1.1 325|17 -9 18 -32 10|PB位91 PE位51 殖4.7|益na→na
2881 富邦金|金融保險|49 122 13|93 93 -4 -6|1.1 1382|21 -31 6 2 149|PB位65 PE位32 殖2.9|益na→na
2882 國泰金|金融保險|-1 4 -17|88 88 -10 -10|1.2 998|25 -29 7 8 81|PB位51 PE位32 殖3.2|益na→na
2883 凱基金|金融保險|28 183 6|94 94 -1 5|1.2 813|27 -0 7 1 78|PB位57 PE位24 殖2.9|益na→na
2884 玉山金|金融保險|56 23 6|97 97 5 1|1.2 722|32 6 10 -30 -4|PB位60 PE位13 殖4.5|益na→na
2885 元大金|金融保險|19 17 -7|92 92 -1 8|1.4 751|27 -27 14 45 70|PB位85 PE位34 殖5.4|益na→na
2886 兆豐金|金融保險|-2 -8 -12|95 99 2 -1|1.3 511|19 -13 12 -4 21|PB位58 PE位28 殖4.5|益na→na
2887 台新新光金|金融保險|27 19 -8|87 94 -2 -6|1.2 428|18 -15 4 7 7|PB位32 PE位16 殖5.8|益na→na
2888 新光金|金融保險|-66 43 958|93 99 6 5|1.5 458|33 17 0 3 10|PB位100 PE位45 殖0.0|益na→na
2889 國票金|金融保險|1 -3 -16|75 82 -15 -15|1.3 54|9 -31 -2 41 21|PB位35 PE位32 殖4.6|益na→na
2890 永豐金|金融保險|33 20 1|84 91 -5 -8|1.2 629|23 -33 4 13 153|PB位66 PE位49 殖5.6|益na→na
2891 中信金|金融保險|38 37 4|97 97 2 14|1.3 2078|32 -8 14 47 951|PB位94 PE位32 殖4.5|益na→na
2892 第一金|金融保險|14 8 -0|95 97 0 -2|1.2 421|23 -28 8 -7 205|PB位5 PE位6 殖4.2|益na→na
