# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1603 華電|電器電纜|85 18 -17|89 89 -1 7|1.2 41|5 6 -1 -11 -7|PB位92 PE位56 殖1.3|益11.1→12.0
1604 聲寶|電器電纜|2 -1 -1|88 97 2 5|0.8 7|10 -12 -5 17 -7|PB位54 PE位98 殖5.2|益8.4→8.2
1605 華新|電器電纜|-11 -5 -10|64 90 -7 -2|0.6 263|17 10 -3 -6 -2|PB位45 PE位96 殖3.0|益4.4→4.2
1608 華榮|電器電纜|22 13 20|93 98 15 11|1.9 20|3 18 0 -4 -9|PB位82 PE位53 殖1.8|益4.7→5.1
1609 大亞|電器電纜|36 22 18|96 98 11 6|2.2 366|12 8 -0 -6 -20|PB位86 PE位21 殖1.5|益4.8→5.2
1611 中電|電器電纜|15 6 15|81 97 3 -1|1.1 10|12 14 0 -7 -15|PB位61 PE位45 殖1.8|益4.1→3.5
1612 宏泰|電器電纜|-7 -3 -2|90 90 9 9|0.4 29|16 -5 0 -15 -13|PB位57 PE位74 殖5.5|益10.1→9.3
1615 大山|電器電纜|42 20 -1|100 100 29 38|0.6 16|1 7 0 -31 33|PB位100 PE位99 殖5.0|益10.0→11.8
1616 億泰|電器電纜|22 28 15|89 89 24 36|0.4 22|3 1 0 na na|PB位97 PE位11 殖0.0|益7.2→7.1
1618 合機|電器電纜|69 105 21|97 97 30 45|1.6 114|6 1 -0 55 6|PB位100 PE位98 殖1.7|益8.2→8.0
1701 中化|生技醫療|18 1 -3|87 92 -8 3|0.4 10|9 19 0 -1 -29|PB位61 PE位94 殖3.4|益2.4→2.3
1702 南僑|食品工業|25 13 -1|100 100 10 15|1.3 25|13 9 0 -30 -18|PB位69 PE位78 殖3.6|益5.4→6.0
1707 葡萄王|生技醫療|18 9 4|84 98 2 2|1.3 35|14 -17 -0 -4 -8|PB位16 PE位33 殖4.4|益21.3→22.5
1708 東鹼|化學工業|7 -4 18|76 91 -0 -3|0.7 13|7 11 -0 -7 -13|PB位16 PE位na 殖9.5|益-5.4→-0.7
1709 和益|化學工業|9 12 16|83 97 1 -1|1.9 6|3 14 0 -3 -24|PB位22 PE位97 殖8.6|益4.3→4.9
1710 東聯|化學工業|37 17 14|81 92 -3 -6|3.0 16|8 -11 -0 18 0|PB位26 PE位4 殖1.1|益-2.6→-3.3
1711 永光|化學工業|28 8 13|97 98 7 11|7.2 17|8 -1 0 10 4|PB位74 PE位100 殖1.6|益1.4→1.1
1712 興農|化學工業|-6 -1 14|99 99 13 16|3.7 29|13 -2 -0 -21 8|PB位95 PE位99 殖6.7|益7.7→7.1
1713 國化|化學工業|68 44 45|88 88 3 32|1.3 25|4 2 0 4 46|PB位98 PE位41 殖2.3|益-7.2→-10.5
1717 長興|化學工業|56 15 20|92 98 6 10|4.8 52|14 -2 -0 66 24|PB位21 PE位99 殖3.8|益3.4→4.6
1720 生達|生技醫療|30 12 1|89 95 -3 6|1.2 36|5 9 -0 -8 -13|PB位68 PE位90 殖4.1|益21.0→20.5
1721 三晃|化學工業|17 -5 15|88 88 2 25|4.5 13|2 2 0 9 2|PB位77 PE位na 殖0.6|益-14.4→-15.6
1722 台肥|化學工業|13 -15 -19|96 96 6 10|0.6 89|12 12 -5 -16 -16|PB位70 PE位14 殖3.8|益25.1→20.8
1723 中碳|化學工業|-24 -12 6|92 92 -4 1|1.1 24|9 -23 2 12 31|PB位6 PE位44 殖3.6|益20.0→18.8
1727 中華化|化學工業|-1 -17 6|74 92 9 6|6.9 11|2 0 0 10 -5|PB位53 PE位100 殖1.0|益1.6→1.1
1731 美吾華|生技醫療|53 27 14|100 100 10 18|1.6 10|3 3 0 32 -23|PB位100 PE位97 殖4.6|益17.2→16.3
1732 毛寶|化學工業|26 9 9|82 82 8 25|0.2 17|1 -2 0 13 56|PB位62 PE位na 殖0.0|益-0.9→-0.9
1733 五鼎|生技醫療|36 -2 19|77 77 14 22|0.5 30|7 4 0 -31 -25|PB位95 PE位91 殖4.3|益7.7→8.2
1734 杏輝|生技醫療|33 11 3|89 97 -3 1|0.9 11|6 9 0 -1 -9|PB位60 PE位13 殖3.0|益7.9→7.9
1736 喬山|運動休閒|10 11 -6|83 84 -6 -13|0.7 14|7 -5 0 -2 -4|PB位34 PE位28 殖0.9|益-3.2→-0.1
1737 臺鹽|食品工業|5 -4 -0|92 100 2 -1|1.1 7|8 1 0 6 -31|PB位73 PE位86 殖4.3|益8.9→11.6
1752 南光|生技醫療|36 -1 -18|63 81 -16 -9|0.3 10|1 4 0 -2 -7|PB位62 PE位3 殖4.7|益17.1→16.0
1760 寶齡富錦|生技醫療|66 27 37|55 83 -17 -1|0.5 31|11 15 0 -6 -14|PB位21 PE位na 殖2.0|益6.5→7.4
1762 中化生|生技醫療|-73 -35 -29|50 80 -18 -20|0.9 14|2 -6 0 10 4|PB位1 PE位76 殖2.6|益18.3→13.9
1773 勝一|化學工業|27 11 19|98 98 14 21|4.3 103|5 9 0 36 -1|PB位80 PE位95 殖2.1|益18.8→18.4
1783 和康生|生技醫療|18 0 -4|70 82 -4 -13|0.8 6|7 14 0 -2 -14|PB位49 PE位6 殖2.1|益28.9→24.6
1784 訊聯|生技醫療|49 20 -0|85 91 5 -3|1.3 11|5 6 0 -0 -14|PB位84 PE位12 殖1.1|益12.3→9.5
1785 光洋科|其他電子|79 39 36|99 99 10 21|1.9 169|11 4 -0 12 -34|PB位56 PE位61 殖3.4|益4.5→5.4
1786 科妍|生技醫療|108 58 22|96 100 13 2|2.1 35|3 10 -1 23 -43|PB位98 PE位93 殖2.2|益26.5→27.2
1789 神隆|生技醫療|17 11 10|75 91 -5 -7|1.0 11|4 -6 0 -11 5|PB位50 PE位31 殖1.2|益6.8→6.0
1795 美時|生技醫療|-1 4 -19|85 96 13 13|1.4 1119|66 1 -2 -8 -12|PB位77 PE位46 殖1.2|益36.6→35.2
1799 易威|生技醫療|-18 64 -9|99 99 34 155|1.4 13|14 -0 0 na na|PB位100 PE位na 殖0.0|益-70.5→-65.2
1802 台玻|玻璃陶瓷|48 18 8|76 83 -4 -11|0.7 35|6 14 -1 -2 -13|PB位17 PE位na 殖0.0|益-5.0→-2.2
1805 寶徠|建材營造|-17 -19 -150|100 100 55 45|1.7 7|1 5 0 na na|PB位99 PE位na 殖0.0|益-32.3→-26.4
1806 冠軍|玻璃陶瓷|124 57 36|95 95 29 31|1.5 23|9 1 0 49 33|PB位81 PE位na 殖0.0|益4.5→5.8
1808 潤隆|建材營造|-71 3034 -7280|91 91 6 26|0.7 76|6 -2 -5 26 12|PB位26 PE位6 殖0.6|益37.8→32.2
1809 中釉|玻璃陶瓷|76 31 28|99 99 110 124|2.1 130|8 3 0 58 -1|PB位100 PE位na 殖0.8|益-3.9→-4.0
