score,exit,cell,fold,cagr,sortino,mdd,boot_p5,key
role40,grid,g_tpnone_trnone_ab0.15_td50,WF,0.4082827694134991,1.660876080426343,-0.5001856373645248,-0.104,role40|grid|g_tpnone_trnone_ab0.15_td50
role40,grid,g_tpnone_trnone_abnone_td50,WF,0.4066258632172443,1.6400410823170786,-0.5196161831512589,-0.0877,role40|grid|g_tpnone_trnone_abnone_td50
role40,grid,g_tp0.8_tr0.2_ab0.15_td50,WF,0.4064239238923512,2.320227020386212,-0.2330589094241986,0.0928,role40|grid|g_tp0.8_tr0.2_ab0.15_td50
role40,grid,g_tpnone_trnone_abnone_tdnone,WF,0.4018096479526007,1.622526165099282,-0.5322979726071455,-0.0856,role40|grid|g_tpnone_trnone_abnone_tdnone
role40,grid,g_tpnone_trnone_ab0.15_tdnone,WF,0.3941067728861001,1.618206616877609,-0.5123611935843442,-0.1062,role40|grid|g_tpnone_trnone_ab0.15_tdnone
role40,grid,g_tp0.8_tr0.2_abnone_td50,WF,0.387899591893311,2.195510434507776,-0.242471485584738,0.0695,role40|grid|g_tp0.8_tr0.2_abnone_td50
role40,grid,g_tp0.4_tr0.2_abnone_td50,WF,0.3864377463187296,2.4115433233686336,-0.2136038240262396,0.0899,role40|grid|g_tp0.4_tr0.2_abnone_td50
role40,grid,g_tp0.8_tr0.2_ab0.15_tdnone,WF,0.3854236889566913,2.188730357652576,-0.2664611180206728,0.0419,role40|grid|g_tp0.8_tr0.2_ab0.15_tdnone
role40,grid,g_tp0.8_trnone_abnone_tdnone,WF,0.3724302397467018,1.9041456665105676,-0.3605269822544221,-0.0033,role40|grid|g_tp0.8_trnone_abnone_tdnone
role40,grid,g_tp0.8_tr0.2_abnone_tdnone,WF,0.370123555667244,2.074532421014698,-0.2707707898542166,0.0568,role40|grid|g_tp0.8_tr0.2_abnone_tdnone
role40,grid,g_tp0.4_tr0.2_ab0.15_td50,WF,0.3586551850957769,2.164609667497882,-0.2385682106529691,0.0575,role40|grid|g_tp0.4_tr0.2_ab0.15_td50
role40,grid,g_tp0.6_tr0.2_abnone_td50,WF,0.3577912305670712,1.960685967206888,-0.2895409545647729,0.0528,role40|grid|g_tp0.6_tr0.2_abnone_td50
role40,grid,g_tp0.8_trnone_ab0.15_td50,WF,0.3575979042375592,2.0653939797522702,-0.2805470590012925,0.0318,role40|grid|g_tp0.8_trnone_ab0.15_td50
role40,grid,g_tp0.4_tr0.2_ab0.15_tdnone,WF,0.3525307950956216,2.213623457524583,-0.2466767839953851,0.0336,role40|grid|g_tp0.4_tr0.2_ab0.15_tdnone
role40,grid,g_tp0.4_tr0.2_abnone_tdnone,WF,0.3486062276879238,2.154404419921959,-0.2556430834567051,0.0458,role40|grid|g_tp0.4_tr0.2_abnone_tdnone
role40,grid,g_tp0.8_trnone_ab0.15_tdnone,WF,0.3407077280847139,1.848175245438669,-0.2923655334581337,0.0333,role40|grid|g_tp0.8_trnone_ab0.15_tdnone
role40,grid,g_tp0.6_tr0.2_ab0.15_td50,WF,0.3389519007102297,1.9490811293396004,-0.3006766350870365,0.0316,role40|grid|g_tp0.6_tr0.2_ab0.15_td50
role40,grid,g_tp0.6_tr0.2_abnone_tdnone,WF,0.3387468369736577,1.8179948508718369,-0.3101994899368939,0.0223,role40|grid|g_tp0.6_tr0.2_abnone_tdnone
role40,grid,g_tp0.8_tr0.3_ab0.15_td50,WF,0.3319515294543975,1.9294307492629073,-0.289912453990764,0.0119,role40|grid|g_tp0.8_tr0.3_ab0.15_td50
role40,grid,g_tp0.6_tr0.2_ab0.15_tdnone,WF,0.3279280706140519,1.8572832044542384,-0.3106086410375899,0.0173,role40|grid|g_tp0.6_tr0.2_ab0.15_tdnone
