# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
2640 大車隊|數位雲端|1 1 -5|99 99 13 12|0.8 7
2641 正德|航運業|11 15 -14|78 87 -7 -14|0.4 18
2645 長榮航太|航運業|14 7 -1|81 88 -1 -13|2.5 39
2707 晶華|觀光餐旅|-0 -4 2|79 90 -6 -8|1.0 31
2718 全心投控|建材營造|-48 15 -493|55 57 -24 -29|0.9 8
2722 夏都|觀光餐旅|-13 -15 1|49 61 -15 -38|1.6 7
2723 美食-KY|觀光餐旅|-5 -5 2|96 96 2 13|0.5 42
2727 王品|觀光餐旅|8 2 0|91 96 4 8|0.4 54
2731 雄獅|觀光餐旅|18 9 -39|78 79 -5 -12|0.9 30
2734 易飛網|觀光餐旅|-37 -45 -58|65 80 9 -19|1.4 5
2739 寒舍|觀光餐旅|3 1 -4|66 75 -7 -18|0.9 13
2743 山富|觀光餐旅|19 -4 -74|61 68 0 -28|1.4 10
2745 五福|觀光餐旅|17 15 -73|79 87 25 -6|1.0 21
2748 雲品|觀光餐旅|-0 -2 -7|73 92 -1 -7|0.9 21
2753 八方雲集|觀光餐旅|11 9 0|87 91 -3 -8|0.5 12
2762 世界健身-KY|運動休閒|5 4 -1|na 89 7 10|0.2 6
2801 彰銀|金融保險|-2 3 -2|98 98 2 -1|2.3 227
2809 京城銀|金融保險|-12 5 -32|76 82 -9 -17|1.9 346
2812 台中銀|金融保險|6 12 -1|95 95 1 -0|0.5 62
2820 華票|金融保險|4 37 28|95 97 -1 -2|0.7 9
2832 台產|金融保險|10 8 -1|94 94 2 4|0.5 6
2834 臺企銀|金融保險|5 6 -1|78 79 -5 -22|0.5 130
2836 高雄銀|金融保險|23 20 7|89 89 -3 -9|0.8 8
2838 聯邦銀|金融保險|-2 10 -0|90 90 -2 -8|1.0 12
2845 遠東銀|金融保險|-17 -4 -3|78 80 -4 -22|0.9 85
2850 新產|金融保險|11 7 1|98 98 11 15|0.7 28
2851 中再保|金融保險|4 6 2|92 93 -2 1|0.4 16
2852 第一保|金融保險|0 3 -4|97 97 10 7|0.7 7
2855 統一證|金融保險|-29 257 147|89 90 -3 -10|1.1 69
2880 華南金|金融保險|-11 8 -5|96 96 3 0|1.1 499
2881 富邦金|金融保險|484 210 84|96 96 -0 8|0.5 1119
2882 國泰金|金融保險|169 63 20|97 97 0 9|0.6 1163
2883 凱基金|金融保險|325 531 266|92 92 1 5|1.4 766
2884 玉山金|金融保險|-14 -1 -16|92 92 -4 -4|0.4 343
2885 元大金|金融保險|66 53 28|98 98 8 4|0.7 579
2886 兆豐金|金融保險|-29 4 -9|91 91 -3 -6|0.9 852
2887 台新新光金|金融保險|16 50 24|88 88 -4 -6|0.6 655
2888 新光金|金融保險|86 -25 867|88 88 -2 17|0.6 473
2889 國票金|金融保險|6 30 7|87 87 -4 -13|0.8 120
2890 永豐金|金融保險|-7 18 -3|86 86 -6 -12|0.8 530
2891 中信金|金融保險|101 54 -31|97 97 11 1|0.5 1342
2892 第一金|金融保險|-4 9 2|95 95 1 -2|0.4 322
2903 遠百|貿易百貨|-0 -3 2|67 69 -18 -32|1.7 78
2905 三商|貿易百貨|555 188 -22|72 72 -17 -9|0.3 8
2908 特力|貿易百貨|-3 -0 -2|94 95 -3 -4|1.0 10
2912 統一超|貿易百貨|6 6 -1|87 87 -10 -3|0.7 337
2913 農林|貿易百貨|37 31 21|85 86 -6 -13|0.5 20
2915 潤泰全|貿易百貨|12 7 7|88 88 -7 4|1.0 370
2929 淘帝-KY|貿易百貨|-10 -10 -0|87 87 2 31|0.6 48
3003 健和興|電子零組|11 15 7|78 78 -8 0|0.5 101
3005 神基|電腦及週|2 -0 -3|71 90 -7 -7|0.6 161
3006 晶豪科|半導體業|-10 6 -10|57 60 -14 -41|0.5 64
3008 大立光|光電業|-11 3 -23|82 82 4 -12|1.1 1589
3010 華立|電子通路|23 12 -8|82 82 -4 -11|0.6 158
3011 今皓|電子零組|12 -1 -2|57 64 -23 -25|0.4 23
3013 晟銘電|電腦及週|31 23 -13|81 81 9 55|0.4 1122
3014 聯陽|半導體業|18 12 4|80 84 6 -16|0.8 283
3015 全漢|電子零組|-8 -10 3|84 84 1 -1|0.5 66
3016 嘉晶|半導體業|-4 1 6|64 64 -22 -33|1.4 17
3017 奇鋐|電腦及週|29 25 1|77 86 1 -16|0.5 3747
3019 亞光|光電業|24 31 5|94 94 54 125|0.3 1671
3021 鴻名|電子零組|17 18 -0|69 69 -9 1|0.2 13
3022 威強電|電腦及週|-1 -2 10|81 81 2 -2|0.5 34
3023 信邦|電子零組|10 7 8|77 77 -11 -12|1.0 241
3024 憶聲|光電業|278 121 84|78 78 0 -14|0.4 42
