# 2023-05 月末(2023-05-31)全池量化快照(1109 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
2438 翔耀|光電業|-52 -49 4|84 84 66 76|0.2 5
2439 美律|通信網路|22 23 9|97 98 4 4|0.6 29
2441 超豐|半導體業|-29 -28 3|86 100 9 19|2.7 26
2442 新美齊|建材營造|346 108 -276|89 89 28 45|1.6 47
2444 兆勁|通信網路|-19 4 3|51 51 -39 -17|0.7 7
2449 京元電子|半導體業|-23 -15 -15|100 100 27 53|2.2 225
2450 神腦|通信網路|-8 3 4|100 100 7 18|0.9 7
2451 創見|半導體業|-23 -21 -0|100 100 8 18|2.9 29
2453 凌群|資訊服務|3 3 2|88 88 39 181|0.7 424
2454 聯發科|半導體業|-46 -33 -21|90 96 -2 8|1.8 3481
2455 全新|通信網路|-39 -46 -4|100 100 27 42|1.3 198
2457 飛宏|電子零組|-4 5 -4|100 100 67 114|0.8 2332
2458 義隆|半導體業|-16 -32 5|79 95 1 20|2.0 181
2460 建通|電子零組|-36 -26 12|85 85 15 32|0.5 7
2461 光群雷|其他電子|-24 -17 -13|99 99 17 26|0.8 13
2462 良得電|電子零組|-29 -10 -1|92 92 -6 23|0.5 19
2464 盟立|其他電子|-17 -9 -12|92 92 -3 0|0.8 5
2465 麗臺|電腦及週|-13 -23 17|89 89 -4 4|2.2 8
2467 志聖|電子零組|-55 -30 -21|100 100 11 16|3.4 18
2468 華經|資訊服務|22 8 -4|81 81 -4 -10|0.8 44
2471 資通|資訊服務|8 7 0|92 92 54 127|0.7 514
2472 立隆電|電子零組|-24 -13 -6|86 86 -3 12|0.4 22
2474 可成|其他電子|95 2 20|97 97 -2 3|1.3 265
2476 鉅祥|電子零組|-3 -5 -5|85 87 3 8|0.2 36
2478 大毅|電子零組|-19 -18 7|93 95 -0 11|0.5 6
2480 敦陽科|資訊服務|14 13 9|100 100 29 50|1.5 156
2481 強茂|半導體業|2 -10 4|87 97 6 18|0.5 133
2482 連宇|其他電子|25 296 148|84 84 34 162|0.2 315
2483 百容|電子零組|-28 -23 -11|95 100 15 25|1.2 5
2484 希華|電子零組|-40 -33 -20|87 90 -6 2|0.6 28
2485 兆赫|通信網路|10 17 7|91 91 5 9|0.6 12
2486 一詮|光電業|-19 -13 6|80 98 29 67|0.6 53
2489 瑞軒|光電業|7 -8 17|100 100 27 31|1.2 74
2491 吉祥全|光電業|169 67 63|92 92 33 31|3.9 11
2492 華新科|電子零組|-22 -17 3|91 94 8 24|0.8 264
2493 揚博|電子零組|7 1 -13|100 100 31 61|2.1 21
