# 2024-03 月末(2024-03-29)全池量化快照(1277 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
3545 敦泰|半導體業|-1 29 8|72 72 -12 22|1.2 304
3546 宇峻|文化創意|24 6 18|96 99 7 2|1.4 21
3548 兆利|電子零組|80 81 30|99 99 47 108|0.8 2704
3551 世禾|綠能環保|8 4 7|100 100 62 75|1.8 118
3552 同致|其他電子|-12 33 18|75 80 -17 -7|1.0 28
3556 禾瑞亞|半導體業|-51 -5 7|83 84 -13 -13|0.6 7
3557 嘉威|居家生活|13 13 15|88 93 2 14|1.1 11
3558 神準|通信網路|-44 -34 -29|64 81 -10 -15|0.6 59
3563 牧德|光電業|-50 -54 -32|100 100 94 102|1.9 683
3564 其陽|通信網路|-4 -16 9|84 88 26 45|1.3 158
3567 逸昌|半導體業|-11 7 -11|88 95 3 3|1.1 17
3570 大塚|資訊服務|3 11 4|94 94 10 27|1.0 22
3576 聯合再生|光電業|-69 -69 -26|52 75 -18 -21|1.2 69
3580 友威科|其他電子|-63 19 29|87 87 1 4|0.4 16
3581 博磊|半導體業|-9 -7 -1|92 92 28 18|0.6 24
3583 辛耘|半導體業|32 41 14|95 95 46 56|2.1 2601
3587 閎康|其他電子|1 9 -10|86 92 18 4|0.4 283
3588 通嘉|半導體業|21 37 39|87 87 32 66|0.1 242
3591 艾笛森|光電業|17 24 11|90 92 2 12|0.5 12
3592 瑞鼎|半導體業|58 49 39|96 96 23 34|0.6 425
3594 磐儀|電腦及週|-30 -27 -17|72 83 -9 -9|1.5 21
3596 智易|通信網路|14 15 4|96 96 13 19|1.9 610
3605 宏致|電子零組|-15 -4 10|90 90 19 36|0.7 41
3607 谷崧|電子零組|-37 4 4|81 81 0 17|0.4 21
3611 鼎翰|電腦及週|-0 0 -3|92 98 2 -0|1.6 40
3615 安可|光電業|-7 11 11|81 81 14 3|0.1 20
3617 碩天|其他電子|19 7 2|83 83 20 -16|3.1 331
3622 洋華|光電業|20 90 62|91 91 49 65|1.0 185
3623 富晶通|光電業|-31 -16 -17|58 58 -0 52|0.1 16
3624 光頡|電子零組|-28 -9 7|68 81 -14 -7|0.5 18
3628 盈正|其他電子|-21 -16 -13|83 97 10 15|1.8 12
3630 新鉅科|光電業|26 54 25|81 83 -10 -11|0.6 9
3631 晟楠|電子零組|-57 -60 -15|94 94 12 27|1.8 7
3645 達邁|電子零組|62 78 54|79 83 -12 -1|0.3 49
3653 健策|電子零組|-14 -4 -2|92 92 35 53|0.6 1453
3661 世芯-KY|半導體業|111 111 -21|75 75 -1 27|1.2 9571
3663 鑫科|其他電子|-11 11 5|92 92 29 33|0.6 71
3664 安瑞-KY|通信網路|33 33 11|66 83 20 6|0.4 9
3665 貿聯-KY|其他電子|-4 -4 2|83 94 -0 -4|1.0 252
3669 圓展|通信網路|13 10 18|88 88 6 18|0.7 52
3673 TPK-KY|光電業|-14 -7 17|82 97 6 10|1.4 83
3675 德微|半導體業|7 12 25|83 87 -8 -6|0.4 49
3679 新至陞|電子零組|-11 39 28|95 95 10 23|0.7 10
3680 家登|半導體業|2 13 -6|92 92 17 30|1.0 577
3687 歐買尬|數位雲端|4 8 8|85 91 8 22|0.7 37
3689 湧德|電子零組|-39 -13 -12|86 86 38 30|0.8 502
3691 碩禾|光電業|101 146 152|95 95 33 50|1.1 86
3693 營邦|電腦及週|1 17 -38|60 64 -16 -31|0.6 369
3694 海華|通信網路|-1 5 6|88 88 10 40|0.2 150
3701 大眾控|電腦及週|-13 12 -3|78 78 3 5|1.1 74
3702 大聯大|電子通路|6 17 20|99 99 16 60|1.5 1425
3703 欣陸|建材營造|-20 -5 -8|100 100 9 14|3.1 54
3704 合勤控|通信網路|-31 -31 -23|73 83 -7 -4|2.7 276
3705 永信|生技醫療|13 20 19|100 100 5 11|1.3 15
3706 神達|電腦及週|45 2 14|91 91 27 29|1.7 1377
3707 漢磊|半導體業|-18 -17 3|68 81 -13 -13|1.3 184
3708 上緯投控|綠能環保|-20 1 18|100 100 31 43|3.6 394
3710 連展投控|電子零組|13 35 27|81 97 6 9|2.9 10
3711 日月光投控|半導體業|-1 -1 11|98 98 23 47|1.3 2563
3712 永崴投控|電腦及週|-7 48 6|86 86 14 29|0.5 163
3714 富采|光電業|2 28 34|69 82 -16 -13|1.2 90
3715 定穎投控|電子零組|9 16 na|64 64 -19 -10|0.5 589
4102 永日|生技醫療|-6 24 13|93 93 4 4|0.5 18
4104 佳醫|生技醫療|-5 5 -8|100 100 10 9|1.2 29
4105 東洋|生技醫療|-19 14 5|95 95 2 6|2.2 82
4107 邦特|生技醫療|-3 6 7|100 100 17 19|1.1 27
4108 懷特|生技醫療|12 42 13|83 86 -4 4|0.9 6
4109 加捷生醫|生技醫療|170 74 44|94 94 47 93|1.1 68
4113 聯上|建材營造|131204 118190 77063|91 91 27 51|0.5 25
4114 健喬|生技醫療|-17 5 -11|90 93 2 3|1.3 44
4119 旭富|生技醫療|-31 -10 -38|77 88 -8 -6|0.7 22
4121 優盛|生技醫療|13 2 12|74 91 2 6|2.0 18
4123 晟德|生技醫療|-23 41 -25|74 89 -2 -5|0.5 61
4126 太醫|生技醫療|-37 -17 -17|97 99 4 8|0.5 10
4127 天良|生技醫療|-8 -3 6|90 90 102 120|3.9 12
4128 中天|生技醫療|19 6 9|72 78 -10 -8|0.8 71
4129 聯合|生技醫療|3 22 -3|93 93 12 48|0.6 133
4137 麗豐-KY|生技醫療|-31 50 10|85 97 3 5|1.1 16
