# 2022-11-01 全池(843 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
2731 雄獅|觀光餐旅|293 224 114|78 78 -6 -11|0.6 134
2732 六角|觀光餐旅|4 17 13|73 73 3 7|0.3 52
2736 富野|觀光餐旅|74 263 158|66 66 -24 15|0.2 25
2743 山富|觀光餐旅|291 2095 1580|65 65 -11 -16|0.3 98
2748 雲品|觀光餐旅|69 172 103|86 86 4 16|0.5 23
2753 八方雲集|觀光餐旅|17 18 4|91 91 23 33|0.4 88
2754 亞洲藏壽司|觀光餐旅|48 372 161|91 91 40 53|0.5 88
2801 彰銀|金融保險|3 18 3|88 93 -3 -2|0.2 97
2809 京城銀|金融保險|-269 -64 -16|77 84 -12 -13|2.0 57
2812 台中銀|金融保險|9 22 7|84 91 -5 0|0.7 48
2820 華票|金融保險|-29 -29 -4|84 86 -10 -8|0.4 9
2834 臺企銀|金融保險|18 20 7|88 93 -1 10|0.7 335
2836 高雄銀|金融保險|-1 -7 -7|83 89 -9 1|0.7 6
2838 聯邦銀|金融保險|4 6 6|93 93 18 20|0.3 22
2845 遠東銀|金融保險|-21 1 4|88 91 -0 2|0.4 92
2850 新產|金融保險|2 3 -1|77 77 -15 -5|1.0 21
2851 中再保|金融保險|-1 1 -7|62 67 -15 -29|1.2 7
2855 統一證|金融保險|159 29 44|70 83 -7 -12|0.6 11
2880 華南金|金融保險|13 15 9|91 91 -2 5|0.8 222
2881 富邦金|金融保險|-18 -39 -20|71 90 -4 -8|0.7 624
2882 國泰金|金融保險|-56 -48 -19|61 74 -17 -24|0.9 1010
2883 凱基金|金融保險|-59 -46 -18|65 79 -10 -19|0.8 387
2884 玉山金|金融保險|-24 -7 -3|72 82 -15 -13|0.8 843
2885 元大金|金融保險|-14 -12 11|81 91 -0 -7|0.7 311
2886 兆豐金|金融保險|-39 -8 -5|70 82 -12 -14|0.9 573
2887 台新新光金|金融保險|-7 -15 -37|70 82 -7 -12|0.7 215
2889 國票金|金融保險|-55 -36 -11|70 75 -16 -20|1.9 35
2890 永豐金|金融保險|8 6 -1|88 88 1 3|0.9 322
2891 中信金|金融保險|-45 -28 -44|73 82 -8 -14|0.8 692
2892 第一金|金融保險|6 23 17|89 93 -3 3|0.9 427
2903 遠百|貿易百貨|10 19 13|84 89 -3 -7|0.6 10
2905 三商|貿易百貨|296 115 83|64 77 -14 -23|0.3 6
2906 高林|貿易百貨|-3 5 -18|52 70 -25 -9|0.7 15
2912 統一超|貿易百貨|13 16 7|94 94 -3 7|0.9 287
2913 農林|貿易百貨|-9 8 -5|94 97 9 15|2.2 29
2915 潤泰全|貿易百貨|6 -2 -9|51 73 -2 -23|0.9 296
3003 健和興|電子零組|10 4 -11|71 81 -15 6|0.4 44
3004 豐達科|鋼鐵工業|49 65 20|79 79 -2 23|0.4 10
3005 神基|電腦及週|34 22 14|69 79 -18 -12|0.6 40
3006 晶豪科|半導體業|-54 -49 -41|38 55 -22 -41|1.0 294
3008 大立光|光電業|22 12 17|72 89 -10 18|0.8 1198
3010 華立|電子通路|-5 2 -10|76 83 -9 -12|0.5 14
3014 聯陽|半導體業|-51 -49 -38|58 66 -10 -27|0.7 21
3016 嘉晶|半導體業|10 15 -11|46 66 -14 -24|0.5 101
3017 奇鋐|電腦及週|26 26 8|86 86 -5 4|0.9 744
3019 亞光|光電業|-3 -5 -8|61 85 -7 -0|0.6 51
3021 鴻名|電子零組|19 17 -1|85 92 13 18|0.6 6
3022 威強電|電腦及週|47 62 46|69 69 -5 30|0.2 81
3023 信邦|電子零組|25 23 7|87 88 -4 7|1.2 221
3024 憶聲|光電業|-35 11 -6|84 89 -3 10|0.4 6
3025 星通|通信網路|-24 -14 -12|79 79 11 13|0.2 32
3026 禾伸堂|電子零組|-4 -15 -5|79 84 -2 -12|0.6 9
3027 盛達|通信網路|5 3 -12|84 84 24 39|0.4 63
3028 增你強|電子通路|-14 -21 -21|71 76 -15 -20|0.4 8
3029 零壹|資訊服務|-27 -10 -22|84 90 -6 -5|0.6 7
3030 德律|其他電子|26 12 -17|88 93 3 2|0.4 16
3033 威健|電子通路|5 -7 -11|83 91 -3 -3|0.9 22
3034 聯詠|半導體業|-52 -49 -60|55 72 -2 -24|0.7 1123
3035 智原|半導體業|27 48 -38|46 56 -8 -41|1.1 4359
3036 文曄|電子通路|51 30 4|64 77 -16 -9|0.8 116
3037 欣興|電子零組|43 33 -6|50 57 -17 -39|1.4 4801
3038 全台|光電業|24 17 1|86 86 -7 17|0.5 12
3041 揚智|半導體業|-26 -23 -37|43 62 -25 -32|0.6 13
3042 晶技|電子零組|-20 -16 -9|73 81 -11 -3|0.6 110
3044 健鼎|電子零組|6 6 -4|71 80 -11 -18|1.5 127
3045 台灣大|通信網路|11 8 -3|89 89 -7 -8|0.7 403
3046 建碁|電腦及週|13 33 -11|84 84 74 89|1.5 1172
3047 訊舟|通信網路|29 20 11|80 80 17 47|0.2 127
3048 益登|電子通路|7 8 -1|81 86 -5 -8|0.5 9
3050 鈺德|光電業|4 17 5|84 90 -1 -6|1.4 27
3051 力特|光電業|19 -6 -3|45 77 11 -3|0.3 14
3056 富華新|建材營造|38506 16755 10331|76 86 0 -5|0.3 16
3059 華晶科|光電業|95 65 12|66 87 -4 2|0.9 71
3062 建漢|通信網路|86 111 90|63 71 -28 8|0.4 114
3078 僑威|電子零組|-40 -43 -9|62 72 -18 -20|0.9 6
3081 聯亞|通信網路|125 78 74|44 50 -37 -31|1.7 170
3086 華義*|文化創意|-35 -44 -28|55 74 6 -10|0.9 7
3088 艾訊|電腦及週|-2 14 -20|79 84 -5 -2|0.6 7
3090 日電貿|電子零組|-10 -10 -14|94 94 4 1|0.7 8
3092 鴻碩|電子零組|-14 6 -30|48 65 -13 -29|0.7 8
3105 穩懋|半導體業|-48 -41 -27|34 56 -25 -31|2.0 781
3122 笙泉|半導體業|-53 -56 -53|40 53 -22 -42|0.7 6
3128 昇銳|光電業|-2 33 3|93 93 56 68|0.6 103
3131 弘塑|半導體業|-10 -8 -29|49 64 -21 -30|0.8 22
3138 耀登|通信網路|31 33 9|50 76 6 -12|0.4 71
3141 晶宏|半導體業|-37 -24 -59|29 47 -29 -45|0.6 274
